day_of_week,temp,snow_ice_pellets,crime_count
5,26.6,0.0,0.3654390934844193
6,32.6,1.0,0.29178470254957506
5,9.466666666666669,1.0,0.1274787535410765
6,5.833333333333333,0.0,0.28895184135977336
7,26.366666666666664,1.0,0.29745042492917845
1,25.133333333333336,1.0,0.17563739376770537
2,17.7,1.0,0.18980169971671387
3,9.5,0.0,0.36827195467422097
4,21.266666666666666,0.0,0.6175637393767706
5,27.933333333333334,0.0,0.46742209631728043
6,34.86666666666667,0.0,0.5552407932011332
7,37.43333333333333,0.0,0.43342776203966005
1,32.03333333333333,0.0,0.46458923512747874
2,35.0,1.0,0.7025495750708215
3,32.63333333333333,1.0,0.5694050991501416
4,31.03333333333333,0.0,0.5864022662889519
5,30.766666666666666,0.0,0.7223796033994334
6,33.6,0.0,0.5977337110481586
7,32.56666666666667,1.0,0.28611898016997167
1,24.1,1.0,0.31444759206798867
2,27.83333333333333,1.0,0.36827195467422097
3,26.2,0.0,0.28895184135977336
4,34.43333333333333,1.0,0.45325779036827196
5,28.666666666666668,1.0,0.47875354107648727
6,28.366666666666664,0.0,0.2577903682719547
6,27.766666666666666,0.0,0.018461538461538463
7,27.933333333333334,1.0,0.1476923076923077
1,27.73333333333333,1.0,0.1723076923076923
2,25.96666666666667,0.0,0.1753846153846154
3,29.03333333333333,0.0,0.17846153846153845
4,37.0,0.0,0.4246153846153846
5,40.13333333333333,0.0,0.5353846153846153
6,39.26666666666667,1.0,0.24615384615384617
7,20.566666666666663,1.0,0.08307692307692308
3,7.399999999999999,1.0,0.25846153846153846
4,31.8,0.0,0.5046153846153846
5,40.2,0.0,0.5046153846153846
6,29.766666666666666,0.0,0.2523076923076923
2,6.933333333333334,0.0,0.12307692307692308
3,17.433333333333334,1.0,0.15076923076923077
4,18.8,0.0,0.19692307692307692
5,25.066666666666663,1.0,0.40307692307692305
6,28.566666666666663,1.0,0.4676923076923077
7,27.633333333333336,0.0,0.3261538461538461
1,32.300000000000004,0.0,0.5353846153846153
2,33.36666666666667,1.0,0.2153846153846154
3,28.066666666666663,1.0,0.3046153846153846
4,34.6,0.0,0.56
5,29.633333333333336,0.0,0.5415384615384615
6,38.36666666666667,0.0,0.5323076923076923
7,43.3,0.0,0.2923076923076923
1,34.53333333333333,0.0,0.07236842105263158
2,39.16666666666666,0.0,0.41776315789473684
3,19.2,0.0,0.06907894736842106
4,10.5,1.0,0.06578947368421052
5,5.5,0.0,0.03289473684210526
6,7.3,0.0,0.08881578947368421
7,10.2,0.0,0.0
1,21.96666666666667,1.0,0.40131578947368424
2,38.5,1.0,0.375
3,33.0,0.0,0.23684210526315788
4,28.5,1.0,0.17434210526315788
5,22.03333333333333,0.0,0.6875
6,28.96666666666667,0.0,0.3092105263157895
7,26.633333333333336,0.0,0.2138157894736842
1,33.23333333333333,1.0,0.20065789473684212
2,38.06666666666667,0.0,0.375
3,34.300000000000004,0.0,0.3815789473684211
4,35.7,0.0,0.48355263157894735
5,38.86666666666667,0.0,0.631578947368421
6,49.2,0.0,0.6414473684210527
7,42.1,0.0,0.4967105263157895
1,39.6,0.0,0.6513157894736842
2,37.73333333333333,0.0,0.4769736842105263
3,38.1,0.0,0.5164473684210527
4,33.666666666666664,1.0,0.27631578947368424
5,28.46666666666667,1.0,0.6348684210526315
6,27.166666666666668,0.0,0.4605263157894737
7,27.23333333333333,1.0,0.14144736842105263
1,23.166666666666668,1.0,0.5460526315789473
2,37.06666666666667,0.0,0.47039473684210525
2,-3.633333333333333,0.0,0.0
3,11.1,1.0,0.04
4,7.733333333333334,1.0,0.11428571428571428
5,4.466666666666666,0.0,0.2914285714285714
6,5.766666666666667,0.0,0.06857142857142857
1,33.53333333333333,1.0,0.16857142857142857
2,29.8,0.0,0.2571428571428571
3,37.2,0.0,0.4514285714285714
4,55.8,0.0,0.39714285714285713
5,24.633333333333336,1.0,0.4142857142857143
6,14.066666666666668,1.0,0.15714285714285714
7,11.633333333333333,1.0,0.005714285714285714
2,13.6,1.0,0.14857142857142858
3,13.033333333333331,0.0,0.24857142857142858
4,21.0,0.0,0.18285714285714286
5,30.933333333333337,0.0,0.42
6,38.2,0.0,0.4828571428571429
7,40.66666666666666,0.0,0.44571428571428573
1,48.13333333333333,0.0,0.46285714285714286
2,35.63333333333333,1.0,0.44857142857142857
3,28.933333333333334,1.0,0.1457142857142857
4,31.566666666666663,0.0,0.2257142857142857
5,41.6,0.0,0.5742857142857143
6,47.76666666666667,0.0,0.5485714285714286
7,34.86666666666667,0.0,0.31142857142857144
1,28.2,1.0,0.2571428571428571
2,21.5,0.0,0.21428571428571427
3,34.86666666666667,0.0,0.41714285714285715
3,28.866666666666664,1.0,0.3274336283185841
4,29.9,0.0,0.6135693215339233
5,36.93333333333333,0.0,0.6666666666666666
6,38.86666666666667,0.0,0.7315634218289085
7,39.5,0.0,0.35398230088495575
1,44.26666666666667,0.0,0.3893805309734513
2,42.36666666666667,0.0,0.4631268436578171
3,24.1,1.0,0.25663716814159293
4,18.866666666666664,0.0,0.41887905604719766
5,25.566666666666663,0.0,0.7079646017699115
6,29.866666666666664,1.0,0.3805309734513274
7,29.566666666666663,1.0,0.0855457227138643
1,24.73333333333333,0.0,0.2713864306784661
2,25.83333333333333,0.0,0.45427728613569324
3,31.73333333333333,0.0,0.46017699115044247
4,30.566666666666663,1.0,0.3215339233038348
5,31.0,1.0,0.36578171091445427
1,10.066666666666668,1.0,0.038348082595870206
2,19.133333333333333,1.0,0.24188790560471976
3,31.33333333333333,1.0,0.3480825958702065
4,18.066666666666663,1.0,0.18584070796460178
5,2.7999999999999994,1.0,0.12389380530973451
