day_of_week,temp,rain_drizzle,crime_count
6,62.3,0.0,0.40226628895184136
7,67.63333333333334,1.0,0.56657223796034
1,66.2,1.0,0.6628895184135978
2,54.13333333333333,1.0,0.43059490084985835
3,58.2,0.0,0.5495750708215298
4,68.89999999999999,0.0,0.7960339943342776
5,71.66666666666667,1.0,0.7422096317280453
6,59.26666666666667,1.0,0.39660056657223797
7,48.56666666666666,1.0,0.5552407932011332
1,57.63333333333333,1.0,0.5779036827195467
2,53.13333333333333,0.0,0.6005665722379604
3,48.13333333333333,0.0,0.6317280453257791
4,52.76666666666667,1.0,0.5949008498583569
5,65.43333333333334,1.0,0.7847025495750708
6,70.33333333333333,1.0,0.9546742209631728
7,72.86666666666667,1.0,0.8243626062322946
1,73.06666666666666,0.0,0.603399433427762
2,50.96666666666667,0.0,0.46175637393767704
3,44.43333333333334,1.0,0.5240793201133145
4,52.2,1.0,0.56657223796034
5,58.56666666666666,0.0,0.7903682719546742
6,62.8,0.0,0.71671388101983
7,67.46666666666665,1.0,0.40226628895184136
1,72.83333333333333,1.0,0.46175637393767704
2,71.46666666666665,1.0,0.6373937677053825
3,69.66666666666667,1.0,0.546742209631728
4,69.66666666666667,0.0,0.7223796033994334
5,73.56666666666666,1.0,0.8016997167138811
6,65.06666666666666,1.0,0.49291784702549574
7,47.76666666666667,1.0,0.34277620396600567
2,55.86666666666667,0.0,0.6430594900849859
3,62.66666666666666,0.0,0.6628895184135978
4,69.0,0.0,0.4985835694050991
5,64.96666666666665,0.0,0.6827195467422096
6,60.4,0.0,0.603399433427762
7,65.7,1.0,0.5524079320113314
1,73.03333333333333,1.0,0.3881019830028329
2,69.56666666666666,1.0,0.5297450424929179
3,79.93333333333334,1.0,0.7025495750708215
4,70.26666666666667,0.0,0.7337110481586402
5,64.93333333333334,1.0,0.8016997167138811
6,67.26666666666667,1.0,0.7592067988668555
7,74.63333333333334,1.0,0.7138810198300283
1,75.2,1.0,0.5524079320113314
2,68.39999999999999,1.0,0.8555240793201133
3,61.9,1.0,0.5042492917847026
4,72.60000000000001,1.0,0.6317280453257791
5,61.73333333333333,0.0,0.6487252124645893
6,65.06666666666666,0.0,0.6260623229461756
7,74.93333333333334,1.0,0.6742209631728046
1,76.16666666666667,1.0,0.6657223796033994
2,75.83333333333333,0.0,0.5297450424929179
3,70.56666666666666,0.0,0.5184135977337111
4,71.73333333333333,1.0,0.6770538243626062
5,64.66666666666667,1.0,0.6770538243626062
6,64.7,1.0,0.5042492917847026
7,67.53333333333333,1.0,0.7138810198300283
1,68.6,1.0,0.5864022662889519
2,69.06666666666666,0.0,0.5779036827195467
3,61.3,0.0,0.9773371104815864
4,61.53333333333333,0.0,0.6005665722379604
5,65.7,0.0,0.6317280453257791
6,69.73333333333333,0.0,0.8498583569405099
7,73.33333333333333,0.0,1.0
1,75.36666666666667,1.0,0.6005665722379604
2,67.8,1.0,0.44192634560906513
3,60.76666666666667,1.0,0.49008498583569404
4,64.7,1.0,0.3597733711048159
5,68.86666666666666,0.0,0.5495750708215298
6,70.73333333333333,1.0,0.71671388101983
7,73.39999999999999,1.0,0.7252124645892352
1,76.03333333333335,1.0,0.6713881019830028
2,76.10000000000001,1.0,0.4702549575070821
3,66.53333333333333,0.0,0.7082152974504249
4,67.10000000000001,1.0,0.3626062322946176
5,78.63333333333333,1.0,0.7932011331444759
6,80.26666666666667,1.0,0.6543909348441926
7,79.89999999999999,0.0,0.6203966005665722
1,75.03333333333333,0.0,0.660056657223796
2,75.16666666666667,0.0,0.6572237960339944
3,73.5,0.0,0.6487252124645893
4,75.10000000000001,0.0,0.7507082152974505
5,76.16666666666667,0.0,0.9121813031161473
6,78.86666666666666,0.0,0.8130311614730878
7,75.53333333333335,1.0,0.7280453257790368
1,77.93333333333334,0.0,0.8215297450424929
2,80.2,0.0,0.6288951841359773
3,81.56666666666666,1.0,0.6203966005665722
4,77.7,0.0,0.6515580736543909
5,78.36666666666667,0.0,0.6713881019830028
7,80.10000000000001,0.0,0.7847025495750708
1,76.33333333333333,1.0,0.5212464589235127
2,72.53333333333335,0.0,0.6118980169971672
3,72.73333333333333,0.0,0.6430594900849859
4,73.73333333333333,0.0,0.7478753541076487
5,73.8,0.0,0.8328611898016998
6,75.93333333333334,0.0,0.8611898016997167
7,72.3,1.0,0.56657223796034
1,75.60000000000001,1.0,0.7478753541076487
2,72.96666666666667,0.0,0.6968838526912181
3,71.2,0.0,0.6090651558073654
4,73.26666666666667,0.0,0.6770538243626062
5,77.8,0.0,0.7450424929178471
6,76.3,1.0,0.7960339943342776
7,78.43333333333334,0.0,0.9065155807365439
1,78.39999999999999,1.0,0.5552407932011332
2,74.03333333333333,1.0,0.6147308781869688
3,72.66666666666667,1.0,0.7025495750708215
4,65.76666666666667,1.0,0.8356940509915014
5,68.83333333333333,0.0,0.886685552407932
6,72.23333333333333,0.0,0.8498583569405099
7,71.89999999999999,1.0,0.7393767705382436
1,65.83333333333333,0.0,0.5070821529745042
2,64.3,0.0,0.6288951841359773
3,62.833333333333336,0.0,0.6997167138810199
4,63.76666666666667,0.0,0.6203966005665722
5,66.33333333333333,0.0,0.7393767705382436
6,68.86666666666666,1.0,0.6118980169971672
7,69.63333333333334,1.0,0.7223796033994334
1,72.10000000000001,0.0,0.56657223796034
3,80.16666666666667,0.0,0.7252124645892352
4,81.23333333333333,0.0,0.9348441926345609
5,75.56666666666668,0.0,0.7648725212464589
6,74.8,1.0,0.6288951841359773
7,79.96666666666667,0.0,0.773371104815864
1,81.16666666666667,0.0,0.7450424929178471
2,77.86666666666666,1.0,0.48725212464589235
3,70.83333333333333,0.0,0.4702549575070821
4,64.43333333333334,1.0,0.32294617563739375
5,62.13333333333333,1.0,0.41359773371104813
6,57.833333333333336,1.0,0.5070821529745042
7,58.66666666666666,0.0,0.5354107648725213
1,64.63333333333334,0.0,0.6968838526912181
2,71.89999999999999,0.0,0.7592067988668555
3,70.39999999999999,0.0,0.6260623229461756
4,72.13333333333334,1.0,0.48725212464589235
5,73.06666666666666,1.0,0.6968838526912181
6,66.06666666666666,1.0,0.6997167138810199
7,60.4,0.0,0.7535410764872521
1,62.1,0.0,0.5382436260623229
