date,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
2018-04-19,04,39.5,30.233333333333334,1023.5999999999999,997.9,7.366666666666667,9.0,13.633333333333333,20.0,52.6,31.766666666666666,0.19333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2018-04-20,04,45.0,23.900000000000002,1031.95,1008.2333333333332,10.0,3.8333333333333335,11.633333333333333,,60.03333333333333,30.03333333333333,0.013333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-21,04,46.1,22.53333333333333,1030.7,1007.0666666666666,10.0,2.8333333333333335,8.9,,55.6,36.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-22,04,50.1,25.2,1027.55,1003.9,10.0,7.766666666666666,14.333333333333334,20.333333333333332,62.1,41.233333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-23,04,49.63333333333333,30.7,1022.4,998.9333333333334,10.0,8.799999999999999,14.0,15.9,59.96666666666667,41.56666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-24,04,53.63333333333333,41.699999999999996,1017.5,994.5333333333333,9.799999999999999,5.866666666666667,11.966666666666667,14.0,63.166666666666664,45.13333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-04-25,04,47.96666666666667,36.5,1018.0,994.7333333333332,9.833333333333334,11.333333333333334,18.033333333333335,25.666666666666668,59.300000000000004,42.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-26,04,47.46666666666667,30.333333333333332,1014.6500000000001,991.3333333333334,10.0,2.733333333333333,9.633333333333333,15.0,65.46666666666667,33.766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-27,04,51.63333333333333,31.933333333333334,1009.1,986.3666666666667,10.0,9.1,19.066666666666666,25.633333333333336,62.76666666666667,40.36666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-04-28,04,42.6,30.400000000000002,1017.4000000000001,993.4,9.966666666666667,12.533333333333333,17.366666666666667,23.0,51.86666666666667,36.63333333333333,0.025,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-04-29,04,43.199999999999996,22.2,1027.0,1003.2666666666668,10.0,4.8999999999999995,10.266666666666667,,57.13333333333333,31.099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-30,04,55.666666666666664,22.433333333333334,1021.9,999.0666666666666,10.0,8.233333333333333,15.6,22.366666666666664,79.2,35.833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,05,70.66666666666667,39.699999999999996,1014.2,991.9333333333334,10.0,12.799999999999999,20.333333333333332,28.933333333333334,85.2,56.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-02,05,76.3,52.6,1011.4,989.4666666666667,10.0,14.366666666666667,24.666666666666668,40.733333333333334,86.73333333333333,63.86666666666667,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-03,05,65.26666666666667,60.53333333333333,1012.0,989.6999999999999,8.0,5.233333333333333,17.599999999999998,28.633333333333336,79.76666666666667,57.36666666666667,1.0233333333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-04,05,66.73333333333333,55.93333333333334,1010.25,987.4666666666667,9.933333333333334,13.799999999999999,25.7,37.666666666666664,73.86666666666667,58.23333333333333,0.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-05,05,68.5,46.26666666666667,1015.05,992.6666666666666,10.0,5.966666666666666,14.700000000000001,18.066666666666666,81.3,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-06,05,61.833333333333336,43.23333333333333,1014.6500000000001,992.0,9.933333333333334,7.1000000000000005,16.3,21.666666666666668,80.39999999999999,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-07,05,58.43333333333334,41.43333333333334,1021.45,998.4333333333334,10.0,4.633333333333334,13.366666666666667,15.9,72.96666666666667,46.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-08,05,67.7,42.23333333333333,1019.5,996.9666666666667,10.0,4.8,10.966666666666667,19.0,80.96666666666667,50.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-09,05,69.7,50.06666666666666,1009.9000000000001,987.4,9.766666666666667,10.6,22.03333333333333,29.633333333333336,81.8,57.5,0.02666666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2018-05-10,05,65.63333333333333,54.86666666666667,1009.9,987.6,9.933333333333334,8.5,14.700000000000001,20.033333333333335,78.56666666666666,57.73333333333333,0.15333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-11,05,53.53333333333333,45.666666666666664,1016.2,992.8666666666667,9.933333333333334,10.433333333333334,16.066666666666666,22.03333333333333,66.53333333333333,47.1,0.05333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0
