,day_of_week,crime_count
0,5,0.3654390934844193
1,6,0.29178470254957506
2,5,0.1274787535410765
3,6,0.28895184135977336
4,7,0.29745042492917845
5,1,0.17563739376770537
6,2,0.18980169971671387
7,3,0.36827195467422097
8,4,0.6175637393767706
9,5,0.46742209631728043
10,6,0.5552407932011332
11,7,0.43342776203966005
12,1,0.46458923512747874
13,2,0.7025495750708215
14,3,0.5694050991501416
15,4,0.5864022662889519
16,5,0.7223796033994334
17,6,0.5977337110481586
18,7,0.28611898016997167
19,1,0.31444759206798867
20,2,0.36827195467422097
21,3,0.28895184135977336
22,4,0.45325779036827196
23,5,0.47875354107648727
24,6,0.2577903682719547
25,7,0.05099150141643059
26,3,0.0906515580736544
27,4,0.0764872521246459
28,5,0.43059490084985835
29,6,0.37960339943342775
30,7,0.19830028328611898
31,1,0.17563739376770537
32,2,0.23796033994334279
33,3,0.17280453257790368
34,4,0.18696883852691218
35,5,0.24645892351274787
36,6,0.14730878186968838
37,7,0.019830028328611898
38,2,0.14730878186968838
39,5,0.3031161473087819
40,6,0.3031161473087819
41,7,0.13314447592067988
42,1,0.0764872521246459
43,2,0.23512747875354106
44,3,0.0764872521246459
45,5,0.26345609065155806
46,6,0.0
47,7,0.603399433427762
48,1,0.32011331444759206
49,2,0.2577903682719547
50,3,0.04815864022662889
51,4,0.19263456090651557
52,5,0.4730878186968839
53,6,0.43059490084985835
54,7,0.22662889518413598
55,1,0.5127478753541076
56,2,0.5920679886685553
57,3,0.5694050991501416
58,4,0.5864022662889519
59,5,0.7620396600566572
60,6,0.71671388101983
61,7,0.6628895184135978
62,1,0.6628895184135978
63,2,0.4164305949008499
64,3,0.41076487252124644
65,4,0.48725212464589235
66,5,0.6572237960339944
67,6,0.40793201133144474
68,7,0.31444759206798867
69,1,0.13314447592067988
70,2,0.26628895184135976
71,3,0.5070821529745042
72,4,0.3937677053824363
73,5,0.5127478753541076
74,6,0.31728045325779036
75,7,0.2096317280453258
76,1,0.49291784702549574
77,2,0.4192634560906516
78,4,0.7053824362606232
79,5,0.46742209631728043
80,6,0.42209631728045327
81,7,0.3626062322946176
82,1,0.37110481586402266
83,2,0.1643059490084986
84,3,0.37960339943342775
85,4,0.29178470254957506
86,5,0.47875354107648727
87,6,0.49575070821529743
88,7,0.6458923512747875
89,1,0.5382436260623229
90,2,0.6288951841359773
91,3,0.7280453257790368
92,4,0.40509915014164305
93,5,0.6798866855524079
94,6,0.6345609065155807
95,7,0.4475920679886686
96,1,0.5609065155807366
97,2,0.3342776203966006
98,3,0.3881019830028329
99,4,0.5297450424929179
100,5,0.6118980169971672
101,6,0.42492917847025496
102,7,0.49008498583569404
103,1,0.4985835694050991
104,2,0.49291784702549574
105,3,0.6260623229461756
106,4,0.34277620396600567
107,6,0.40226628895184136
108,7,0.56657223796034
109,1,0.6628895184135978
110,2,0.43059490084985835
111,3,0.5495750708215298
112,4,0.7960339943342776
113,5,0.7422096317280453
114,6,0.39660056657223797
115,7,0.5552407932011332
116,1,0.5779036827195467
117,2,0.6005665722379604
118,3,0.6317280453257791
119,4,0.5949008498583569
120,5,0.7847025495750708
121,6,0.9546742209631728
122,7,0.8243626062322946
123,1,0.603399433427762
124,2,0.46175637393767704
125,3,0.5240793201133145
126,4,0.56657223796034
127,5,0.7903682719546742
128,6,0.71671388101983
129,7,0.40226628895184136
130,1,0.46175637393767704
131,2,0.6373937677053825
132,3,0.546742209631728
133,4,0.7223796033994334
134,5,0.8016997167138811
135,6,0.49291784702549574
136,7,0.34277620396600567
137,2,0.6430594900849859
138,3,0.6628895184135978
139,4,0.4985835694050991
140,5,0.6827195467422096
141,6,0.603399433427762
142,7,0.5524079320113314
143,1,0.3881019830028329
144,2,0.5297450424929179
145,3,0.7025495750708215
146,4,0.7337110481586402
147,5,0.8016997167138811
148,6,0.7592067988668555
149,7,0.7138810198300283
150,1,0.5524079320113314
151,2,0.8555240793201133
152,3,0.5042492917847026
153,4,0.6317280453257791
154,5,0.6487252124645893
155,6,0.6260623229461756
156,7,0.6742209631728046
157,1,0.6657223796033994
158,2,0.5297450424929179
159,3,0.5184135977337111
160,4,0.6770538243626062
161,5,0.6770538243626062
162,6,0.5042492917847026
163,7,0.7138810198300283
164,1,0.5864022662889519
165,2,0.5779036827195467
166,3,0.9773371104815864
167,4,0.6005665722379604
168,5,0.6317280453257791
169,6,0.8498583569405099
170,7,1.0
171,1,0.6005665722379604
172,2,0.44192634560906513
173,3,0.49008498583569404
174,4,0.3597733711048159
175,5,0.5495750708215298
176,6,0.71671388101983
177,7,0.7252124645892352
178,1,0.6713881019830028
179,2,0.4702549575070821
180,3,0.7082152974504249
181,4,0.3626062322946176
182,5,0.7932011331444759
183,6,0.6543909348441926
184,7,0.6203966005665722
185,1,0.660056657223796
186,2,0.6572237960339944
187,3,0.6487252124645893
188,4,0.7507082152974505
189,5,0.9121813031161473
190,6,0.8130311614730878
191,7,0.7280453257790368
192,1,0.8215297450424929
193,2,0.6288951841359773
194,3,0.6203966005665722
195,4,0.6515580736543909
196,5,0.6713881019830028
197,7,0.7847025495750708
198,1,0.5212464589235127
199,2,0.6118980169971672
200,3,0.6430594900849859
201,4,0.7478753541076487
202,5,0.8328611898016998
203,6,0.8611898016997167
204,7,0.56657223796034
205,1,0.7478753541076487
206,2,0.6968838526912181
207,3,0.6090651558073654
208,4,0.6770538243626062
209,5,0.7450424929178471
210,6,0.7960339943342776
211,7,0.9065155807365439
212,1,0.5552407932011332
213,2,0.6147308781869688
214,3,0.7025495750708215
215,4,0.8356940509915014
216,5,0.886685552407932
217,6,0.8498583569405099
218,7,0.7393767705382436
219,1,0.5070821529745042
220,2,0.6288951841359773
221,3,0.6997167138810199
222,4,0.6203966005665722
223,5,0.7393767705382436
224,6,0.6118980169971672
225,7,0.7223796033994334
226,1,0.56657223796034
227,3,0.7252124645892352
228,4,0.9348441926345609
229,5,0.7648725212464589
230,6,0.6288951841359773
231,7,0.773371104815864
232,1,0.7450424929178471
233,2,0.48725212464589235
234,3,0.4702549575070821
235,4,0.32294617563739375
236,5,0.41359773371104813
237,6,0.5070821529745042
238,7,0.5354107648725213
239,1,0.6968838526912181
240,2,0.7592067988668555
241,3,0.6260623229461756
242,4,0.48725212464589235
243,5,0.6968838526912181
244,6,0.6997167138810199
245,7,0.7535410764872521
246,1,0.5382436260623229
247,2,0.6572237960339944
248,3,0.8186968838526912
249,4,0.49008498583569404
250,5,0.7535410764872521
251,6,0.6997167138810199
252,7,0.7308781869688386
253,1,0.5892351274787535
254,2,0.35410764872521244
255,3,0.37677053824362605
256,4,0.9773371104815864
257,5,0.7195467422096318
258,6,0.46458923512747874
259,7,0.3087818696883853
260,1,0.5949008498583569
261,2,0.5864022662889519
262,3,0.49008498583569404
263,4,0.44192634560906513
264,5,0.7082152974504249
265,6,0.5212464589235127
266,7,0.5382436260623229
267,1,0.5297450424929179
268,2,0.5552407932011332
269,3,0.6203966005665722
270,4,0.7677053824362606
271,5,0.5354107648725213
272,6,0.45609065155807366
273,7,0.36827195467422097
274,1,0.6883852691218131
275,2,0.6798866855524079
276,3,0.7053824362606232
277,4,0.6487252124645893
278,5,0.6572237960339944
279,6,0.623229461756374
280,7,0.5184135977337111
281,1,0.6685552407932012
282,2,0.3002832861189802
283,3,0.3881019830028329
284,4,0.35127478753541075
285,5,0.6543909348441926
286,6,0.4985835694050991
287,1,0.6798866855524079
288,2,0.5779036827195467
289,3,0.6968838526912181
290,4,0.5920679886685553
291,5,0.5722379603399433
292,6,0.41359773371104813
293,7,0.45325779036827196
294,1,0.3937677053824363
295,2,0.26912181303116145
296,3,0.40509915014164305
297,4,0.4192634560906516
298,5,0.37960339943342775
299,6,0.42776203966005666
300,7,0.5014164305949008
301,1,0.5637393767705382
302,2,0.34844192634560905
303,3,0.3937677053824363
304,4,0.42776203966005666
305,5,0.47875354107648727
306,1,0.29745042492917845
307,2,0.17563739376770537
308,3,0.21246458923512748
309,4,0.1274787535410765
310,5,0.19263456090651557
311,6,0.32011331444759206
312,7,0.18980169971671387
313,1,0.34844192634560905
314,2,0.7138810198300283
315,3,0.48441926345609065
316,4,0.46742209631728043
317,5,0.43909348441926344
318,6,0.45892351274787535
319,7,0.40226628895184136
320,1,0.40793201133144474
321,2,0.5325779036827195
322,3,0.39660056657223797
323,4,0.41359773371104813
324,5,0.5580736543909348
325,6,0.5864022662889519
326,7,0.3002832861189802
327,1,0.5495750708215298
328,2,0.7053824362606232
329,3,0.5014164305949008
330,4,0.5184135977337111
331,5,0.3059490084985836
332,6,0.34277620396600567
333,7,0.4192634560906516
334,1,0.29745042492917845
335,2,0.42209631728045327
336,3,0.5920679886685553
337,4,0.36827195467422097
338,6,0.26912181303116145
339,7,0.23229461756373937
340,2,0.2237960339943343
341,3,0.1643059490084986
342,4,0.18696883852691218
343,6,0.018461538461538463
344,7,0.1476923076923077
345,1,0.1723076923076923
346,2,0.1753846153846154
347,3,0.17846153846153845
348,4,0.4246153846153846
