date,crime_count,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,year,Fri,Mon,Sat,Sun,Thu,Tue,Wed,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
2018-06-23,839,67.33333333333333,58.86666666666667,1006.65,984.1,8.466666666666667,4.766666666666667,11.633333333333333,,78.93333333333334,60.56666666666666,0.4399999999999999,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-02-20,635,31.366666666666664,26.53333333333333,1020.0,993.9666666666668,6.4,9.7,16.7,23.633333333333336,37.3,28.433333333333334,0.01,1.2,0.0,1.0,1.0,0.0,0.0,0.0,2019,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-11-20,714,36.7,16.933333333333334,1023.05,999.4,10.0,9.466666666666669,14.633333333333333,20.0,48.5,29.766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019-07-23,788,69.39999999999999,55.2,1018.4,995.9,10.0,5.5,12.366666666666667,18.366666666666667,80.39999999999999,59.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-02-08,570,31.6,24.866666666666664,1006.05,982.2333333333332,9.5,8.433333333333334,14.0,19.0,41.86666666666667,27.066666666666663,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2016,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-10-26,781,49.26666666666667,37.63333333333333,1028.55,1005.1,10.0,3.7,9.9,,62.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-12,665,31.83333333333333,30.066666666666663,1008.8,982.7,3.8,9.9,20.3,33.03333333333333,33.333333333333336,27.6,0.4566666666666667,1.2,0.0,1.0,1.0,0.0,0.0,0.0,2019,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-03-30,663,39.63333333333333,33.166666666666664,1013.0,988.9333333333334,8.266666666666667,9.766666666666667,19.366666666666667,27.0,47.6,34.36666666666667,0.56,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-09-04,716,71.93333333333334,58.76666666666667,1009.05,986.8333333333334,9.833333333333334,10.233333333333333,17.666666666666668,24.666666666666668,84.5,61.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2016-03-10,716,49.43333333333334,41.23333333333333,1017.4,993.9666666666668,9.866666666666667,6.933333333333334,12.366666666666667,14.0,60.4,43.9,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2017-12-09,659,29.4,20.133333333333336,1011.15,985.8333333333334,7.766666666666667,11.633333333333333,19.3,26.7,33.300000000000004,24.066666666666663,0.025,1.2,0.0,0.0,1.0,0.0,0.0,0.0,2017,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
