,date,day_of_week,crime_count
0,2015-01-01,4,1241
1,2015-01-02,5,674
2,2015-01-03,6,648
3,2015-01-04,7,514
4,2015-01-05,1,523
5,2015-01-06,2,503
6,2015-01-07,3,474
7,2015-01-08,4,448
8,2015-01-09,5,590
9,2015-01-10,6,647
10,2015-01-11,7,650
11,2015-01-12,1,607
12,2015-01-13,2,612
13,2015-01-14,3,675
14,2015-01-15,4,763
15,2015-01-16,5,710
16,2015-01-17,6,741
17,2015-01-18,7,698
18,2015-01-19,1,709
19,2015-01-20,2,793
20,2015-01-21,3,746
21,2015-01-22,4,752
22,2015-01-23,5,800
23,2015-01-24,6,756
24,2015-01-25,7,646
25,2015-01-26,1,656
26,2015-01-27,2,675
27,2015-01-28,3,647
28,2015-01-29,4,705
29,2015-01-30,5,714
30,2015-01-31,6,636
31,2015-02-01,7,563
32,2015-02-02,1,473
33,2015-02-03,2,512
34,2015-02-04,3,577
35,2015-02-05,4,572
36,2015-02-06,5,697
37,2015-02-07,6,679
38,2015-02-08,7,615
39,2015-02-09,1,607
40,2015-02-10,2,629
41,2015-02-11,3,606
42,2015-02-12,4,611
43,2015-02-13,5,632
44,2015-02-14,6,597
45,2015-02-15,7,552
46,2015-02-16,1,539
47,2015-02-17,2,597
48,2015-02-18,3,511
49,2015-02-19,4,463
50,2015-02-20,5,652
51,2015-02-21,6,652
52,2015-02-22,7,592
53,2015-02-23,1,572
54,2015-02-24,2,628
55,2015-02-25,3,572
56,2015-02-26,4,518
57,2015-02-27,5,638
58,2015-02-28,6,545
59,2015-03-01,7,758
60,2015-03-02,1,658
61,2015-03-03,2,636
62,2015-03-04,3,562
63,2015-03-05,4,613
64,2015-03-06,5,712
65,2015-03-07,6,697
66,2015-03-08,7,625
67,2015-03-09,1,726
68,2015-03-10,2,754
69,2015-03-11,3,746
70,2015-03-12,4,752
71,2015-03-13,5,814
72,2015-03-14,6,798
73,2015-03-15,7,779
74,2015-03-16,1,779
75,2015-03-17,2,692
76,2015-03-18,3,690
77,2015-03-19,4,717
78,2015-03-20,5,777
79,2015-03-21,6,689
80,2015-03-22,7,656
81,2015-03-23,1,592
82,2015-03-24,2,639
83,2015-03-25,3,724
84,2015-03-26,4,684
85,2015-03-27,5,726
86,2015-03-28,6,657
87,2015-03-29,7,619
88,2015-03-30,1,719
89,2015-03-31,2,693
90,2015-04-01,3,929
91,2015-04-02,4,794
92,2015-04-03,5,710
93,2015-04-04,6,694
94,2015-04-05,7,673
95,2015-04-06,1,676
96,2015-04-07,2,603
97,2015-04-08,3,679
98,2015-04-09,4,648
99,2015-04-10,5,714
100,2015-04-11,6,720
101,2015-04-12,7,773
102,2015-04-13,1,735
103,2015-04-14,2,767
104,2015-04-15,3,802
105,2015-04-16,4,688
106,2015-04-17,5,785
107,2015-04-18,6,769
108,2015-04-19,7,703
109,2015-04-20,1,743
110,2015-04-21,2,663
111,2015-04-22,3,682
112,2015-04-23,4,732
113,2015-04-24,5,761
114,2015-04-25,6,695
115,2015-04-26,7,718
116,2015-04-27,1,721
117,2015-04-28,2,719
118,2015-04-29,3,766
119,2015-04-30,4,666
120,2015-05-01,5,953
121,2015-05-02,6,687
122,2015-05-03,7,745
123,2015-05-04,1,779
124,2015-05-05,2,697
125,2015-05-06,3,739
126,2015-05-07,4,826
127,2015-05-08,5,807
128,2015-05-09,6,685
129,2015-05-10,7,741
130,2015-05-11,1,749
131,2015-05-12,2,757
132,2015-05-13,3,768
133,2015-05-14,4,755
134,2015-05-15,5,822
135,2015-05-16,6,882
136,2015-05-17,7,836
137,2015-05-18,1,758
138,2015-05-19,2,708
139,2015-05-20,3,730
140,2015-05-21,4,745
141,2015-05-22,5,824
142,2015-05-23,6,798
143,2015-05-24,7,687
144,2015-05-25,1,708
145,2015-05-26,2,770
146,2015-05-27,3,738
147,2015-05-28,4,800
148,2015-05-29,5,828
149,2015-05-30,6,719
150,2015-05-31,7,666
151,2015-06-01,1,956
152,2015-06-02,2,772
153,2015-06-03,3,779
154,2015-06-04,4,721
155,2015-06-05,5,786
156,2015-06-06,6,758
157,2015-06-07,7,740
158,2015-06-08,1,682
159,2015-06-09,2,732
160,2015-06-10,3,793
161,2015-06-11,4,804
162,2015-06-12,5,828
163,2015-06-13,6,813
164,2015-06-14,7,797
165,2015-06-15,1,740
166,2015-06-16,2,847
167,2015-06-17,3,723
168,2015-06-18,4,768
169,2015-06-19,5,774
170,2015-06-20,6,766
171,2015-06-21,7,783
172,2015-06-22,1,780
173,2015-06-23,2,732
174,2015-06-24,3,728
175,2015-06-25,4,784
176,2015-06-26,5,784
177,2015-06-27,6,723
178,2015-06-28,7,797
179,2015-06-29,1,752
180,2015-06-30,2,749
181,2015-07-01,3,890
182,2015-07-02,4,757
183,2015-07-03,5,768
184,2015-07-04,6,845
185,2015-07-05,7,898
186,2015-07-06,1,757
187,2015-07-07,2,701
188,2015-07-08,3,718
189,2015-07-09,4,672
190,2015-07-10,5,739
191,2015-07-11,6,798
192,2015-07-12,7,801
193,2015-07-13,1,782
194,2015-07-14,2,711
195,2015-07-15,3,795
196,2015-07-16,4,673
197,2015-07-17,5,825
198,2015-07-18,6,776
199,2015-07-19,7,764
200,2015-07-20,1,778
201,2015-07-21,2,777
202,2015-07-22,3,774
203,2015-07-23,4,810
204,2015-07-24,5,867
205,2015-07-25,6,832
206,2015-07-26,7,802
207,2015-07-27,1,835
208,2015-07-28,2,767
209,2015-07-29,3,764
210,2015-07-30,4,775
211,2015-07-31,5,782
212,2015-08-01,6,1047
213,2015-08-02,7,822
214,2015-08-03,1,729
215,2015-08-04,2,761
216,2015-08-05,3,772
217,2015-08-06,4,809
218,2015-08-07,5,839
219,2015-08-08,6,849
220,2015-08-09,7,745
221,2015-08-10,1,809
222,2015-08-11,2,791
