,date,day_of_week,crime_count
223,2015-08-12,3,760
224,2015-08-13,4,784
225,2015-08-14,5,808
226,2015-08-15,6,826
227,2015-08-16,7,865
228,2015-08-17,1,741
229,2015-08-18,2,762
230,2015-08-19,3,793
231,2015-08-20,4,840
232,2015-08-21,5,858
233,2015-08-22,6,845
234,2015-08-23,7,806
235,2015-08-24,1,724
236,2015-08-25,2,767
237,2015-08-26,3,792
238,2015-08-27,4,764
239,2015-08-28,5,806
240,2015-08-29,6,761
241,2015-08-30,7,800
242,2015-08-31,1,745
243,2015-09-01,2,956
244,2015-09-02,3,801
245,2015-09-03,4,875
246,2015-09-04,5,815
247,2015-09-05,6,767
248,2015-09-06,7,818
249,2015-09-07,1,808
250,2015-09-08,2,717
251,2015-09-09,3,711
252,2015-09-10,4,659
253,2015-09-11,5,691
254,2015-09-12,6,724
255,2015-09-13,7,734
256,2015-09-14,1,791
257,2015-09-15,2,813
258,2015-09-16,3,766
259,2015-09-17,4,717
260,2015-09-18,5,791
261,2015-09-19,6,792
262,2015-09-20,7,811
263,2015-09-21,1,735
264,2015-09-22,2,777
265,2015-09-23,3,834
266,2015-09-24,4,718
267,2015-09-25,5,811
268,2015-09-26,6,792
269,2015-09-27,7,803
270,2015-09-28,1,753
271,2015-09-29,2,670
272,2015-09-30,3,678
273,2015-10-01,4,890
274,2015-10-02,5,799
275,2015-10-03,6,709
276,2015-10-04,7,654
277,2015-10-05,1,755
278,2015-10-06,2,752
279,2015-10-07,3,718
280,2015-10-08,4,701
281,2015-10-09,5,795
282,2015-10-10,6,729
283,2015-10-11,7,735
284,2015-10-12,1,732
285,2015-10-13,2,741
286,2015-10-14,3,764
287,2015-10-15,4,816
288,2015-10-16,5,734
289,2015-10-17,6,706
290,2015-10-18,7,675
291,2015-10-19,1,788
292,2015-10-20,2,785
293,2015-10-21,3,794
294,2015-10-22,4,774
295,2015-10-23,5,777
296,2015-10-24,6,765
297,2015-10-25,7,728
298,2015-10-26,1,781
299,2015-10-27,2,651
300,2015-10-28,3,682
301,2015-10-29,4,669
302,2015-10-30,5,776
303,2015-10-31,6,721
304,2015-11-01,7,996
305,2015-11-02,1,785
306,2015-11-03,2,749
307,2015-11-04,3,791
308,2015-11-05,4,754
309,2015-11-06,5,747
310,2015-11-07,6,691
311,2015-11-08,7,705
312,2015-11-09,1,684
313,2015-11-10,2,640
314,2015-11-11,3,688
315,2015-11-12,4,693
316,2015-11-13,5,679
317,2015-11-14,6,696
318,2015-11-15,7,722
319,2015-11-16,1,744
320,2015-11-17,2,668
321,2015-11-18,3,684
322,2015-11-19,4,696
323,2015-11-20,5,714
324,2015-11-21,6,528
325,2015-11-22,7,520
326,2015-11-23,1,650
327,2015-11-24,2,607
328,2015-11-25,3,620
329,2015-11-26,4,590
330,2015-11-27,5,613
331,2015-11-28,6,658
332,2015-11-29,7,612
333,2015-11-30,1,668
334,2015-12-01,2,797
335,2015-12-02,3,716
336,2015-12-03,4,710
337,2015-12-04,5,700
338,2015-12-05,6,707
339,2015-12-06,7,687
340,2015-12-07,1,689
341,2015-12-08,2,733
342,2015-12-09,3,685
343,2015-12-10,4,691
344,2015-12-11,5,742
345,2015-12-12,6,752
346,2015-12-13,7,651
347,2015-12-14,1,739
348,2015-12-15,2,794
349,2015-12-16,3,722
350,2015-12-17,4,728
351,2015-12-18,5,653
352,2015-12-19,6,666
353,2015-12-20,7,693
354,2015-12-21,1,650
355,2015-12-22,2,694
356,2015-12-23,3,754
357,2015-12-24,4,675
358,2015-12-25,5,498
359,2015-12-26,6,640
360,2015-12-27,7,627
361,2015-12-28,1,516
362,2015-12-29,2,624
363,2015-12-30,3,603
364,2015-12-31,4,611
