,date,day_of_week,district,crime_count
0,2015-01-01,4,1,35
1,2015-01-01,4,2,62
2,2015-01-01,4,3,62
3,2015-01-01,4,4,84
4,2015-01-01,4,5,42
5,2015-01-01,4,6,83
6,2015-01-01,4,7,72
7,2015-01-01,4,8,88
8,2015-01-01,4,9,66
9,2015-01-01,4,10,59
10,2015-01-01,4,11,71
11,2015-01-01,4,12,35
12,2015-01-01,4,14,47
13,2015-01-01,4,15,68
14,2015-01-01,4,16,46
15,2015-01-01,4,17,40
16,2015-01-01,4,18,59
17,2015-01-01,4,19,48
18,2015-01-01,4,20,20
19,2015-01-01,4,22,37
20,2015-01-01,4,24,34
21,2015-01-01,4,25,83
22,2015-01-02,5,1,26
23,2015-01-02,5,2,33
24,2015-01-02,5,3,40
25,2015-01-02,5,4,36
26,2015-01-02,5,5,30
27,2015-01-02,5,6,37
28,2015-01-02,5,7,30
29,2015-01-02,5,8,50
30,2015-01-02,5,9,33
31,2015-01-02,5,10,18
32,2015-01-02,5,11,70
33,2015-01-02,5,12,26
34,2015-01-02,5,14,31
35,2015-01-02,5,15,32
36,2015-01-02,5,16,27
37,2015-01-02,5,17,12
38,2015-01-02,5,18,31
39,2015-01-02,5,19,26
40,2015-01-02,5,20,6
41,2015-01-02,5,22,21
42,2015-01-02,5,24,16
43,2015-01-02,5,25,43
44,2015-01-03,6,1,14
45,2015-01-03,6,2,23
46,2015-01-03,6,3,28
47,2015-01-03,6,4,35
48,2015-01-03,6,5,31
49,2015-01-03,6,6,45
50,2015-01-03,6,7,41
51,2015-01-03,6,8,39
52,2015-01-03,6,9,24
53,2015-01-03,6,10,25
54,2015-01-03,6,11,60
55,2015-01-03,6,12,36
56,2015-01-03,6,14,32
57,2015-01-03,6,15,35
58,2015-01-03,6,16,19
59,2015-01-03,6,17,22
60,2015-01-03,6,18,35
61,2015-01-03,6,19,20
62,2015-01-03,6,20,12
63,2015-01-03,6,22,20
64,2015-01-03,6,24,18
65,2015-01-03,6,25,34
66,2015-01-04,7,1,18
67,2015-01-04,7,2,19
68,2015-01-04,7,3,15
69,2015-01-04,7,4,37
70,2015-01-04,7,5,20
71,2015-01-04,7,6,26
72,2015-01-04,7,7,31
73,2015-01-04,7,8,47
74,2015-01-04,7,9,24
75,2015-01-04,7,10,14
76,2015-01-04,7,11,43
77,2015-01-04,7,12,15
78,2015-01-04,7,14,25
79,2015-01-04,7,15,22
80,2015-01-04,7,16,24
81,2015-01-04,7,17,18
82,2015-01-04,7,18,18
83,2015-01-04,7,19,29
84,2015-01-04,7,20,12
85,2015-01-04,7,22,12
86,2015-01-04,7,24,19
87,2015-01-04,7,25,26
88,2015-01-05,1,1,33
89,2015-01-05,1,2,23
90,2015-01-05,1,3,21
91,2015-01-05,1,4,34
92,2015-01-05,1,5,23
93,2015-01-05,1,6,28
94,2015-01-05,1,7,42
95,2015-01-05,1,8,37
96,2015-01-05,1,9,17
97,2015-01-05,1,10,22
98,2015-01-05,1,11,33
99,2015-01-05,1,12,14
100,2015-01-05,1,14,16
101,2015-01-05,1,15,26
102,2015-01-05,1,16,19
103,2015-01-05,1,17,20
104,2015-01-05,1,18,16
105,2015-01-05,1,19,26
106,2015-01-05,1,20,12
107,2015-01-05,1,22,14
108,2015-01-05,1,24,11
109,2015-01-05,1,25,36
110,2015-01-06,2,1,22
111,2015-01-06,2,2,18
112,2015-01-06,2,3,26
113,2015-01-06,2,4,30
114,2015-01-06,2,5,20
115,2015-01-06,2,6,24
116,2015-01-06,2,7,26
117,2015-01-06,2,8,33
118,2015-01-06,2,9,34
119,2015-01-06,2,10,20
120,2015-01-06,2,11,29
121,2015-01-06,2,12,19
122,2015-01-06,2,14,13
123,2015-01-06,2,15,22
124,2015-01-06,2,16,35
125,2015-01-06,2,17,19
126,2015-01-06,2,18,18
127,2015-01-06,2,19,21
128,2015-01-06,2,20,10
129,2015-01-06,2,22,20
130,2015-01-06,2,24,16
131,2015-01-06,2,25,28
132,2015-01-07,3,1,24
133,2015-01-07,3,2,21
134,2015-01-07,3,3,21
135,2015-01-07,3,4,31
136,2015-01-07,3,5,20
137,2015-01-07,3,6,22
138,2015-01-07,3,7,21
139,2015-01-07,3,8,38
140,2015-01-07,3,9,12
141,2015-01-07,3,10,16
142,2015-01-07,3,11,40
143,2015-01-07,3,12,24
144,2015-01-07,3,14,18
145,2015-01-07,3,15,26
146,2015-01-07,3,16,19
147,2015-01-07,3,17,13
148,2015-01-07,3,18,21
149,2015-01-07,3,19,15
150,2015-01-07,3,20,8
151,2015-01-07,3,22,18
152,2015-01-07,3,24,8
153,2015-01-07,3,25,38
154,2015-01-08,4,1,20
155,2015-01-08,4,2,14
156,2015-01-08,4,3,15
157,2015-01-08,4,4,29
158,2015-01-08,4,5,30
159,2015-01-08,4,6,20
160,2015-01-08,4,7,19
161,2015-01-08,4,8,39
162,2015-01-08,4,9,25
163,2015-01-08,4,10,15
164,2015-01-08,4,11,39
165,2015-01-08,4,12,26
166,2015-01-08,4,14,7
167,2015-01-08,4,15,21
168,2015-01-08,4,16,20
169,2015-01-08,4,17,14
170,2015-01-08,4,18,12
171,2015-01-08,4,19,10
172,2015-01-08,4,20,10
173,2015-01-08,4,22,19
174,2015-01-08,4,24,11
175,2015-01-08,4,25,33
176,2015-01-09,5,1,26
177,2015-01-09,5,2,19
178,2015-01-09,5,3,35
179,2015-01-09,5,4,30
180,2015-01-09,5,5,33
181,2015-01-09,5,6,30
182,2015-01-09,5,7,35
183,2015-01-09,5,8,46
184,2015-01-09,5,9,32
185,2015-01-09,5,10,11
186,2015-01-09,5,11,61
187,2015-01-09,5,12,20
188,2015-01-09,5,14,14
189,2015-01-09,5,15,30
190,2015-01-09,5,16,24
191,2015-01-09,5,17,15
192,2015-01-09,5,18,25
193,2015-01-09,5,19,26
194,2015-01-09,5,20,8
195,2015-01-09,5,22,26
196,2015-01-09,5,24,15
197,2015-01-09,5,25,29
198,2015-01-10,6,1,25
199,2015-01-10,6,2,26
200,2015-01-10,6,3,26
201,2015-01-10,6,4,40
202,2015-01-10,6,5,40
203,2015-01-10,6,6,47
204,2015-01-10,6,7,23
205,2015-01-10,6,8,44
206,2015-01-10,6,9,27
207,2015-01-10,6,10,31
208,2015-01-10,6,11,70
209,2015-01-10,6,12,24
210,2015-01-10,6,14,24
211,2015-01-10,6,15,30
212,2015-01-10,6,16,19
213,2015-01-10,6,17,17
214,2015-01-10,6,18,24
215,2015-01-10,6,19,20
