,date,day_of_week,crime_count
0,2019-01-01,2,1078
1,2019-01-02,3,655
2,2019-01-03,4,752
3,2019-01-04,5,770
4,2019-01-05,6,792
5,2019-01-06,7,664
6,2019-01-07,1,676
7,2019-01-08,2,701
8,2019-01-09,3,631
9,2019-01-10,4,686
10,2019-01-11,5,784
11,2019-01-12,6,673
12,2019-01-13,7,573
13,2019-01-14,1,636
14,2019-01-15,2,698
15,2019-01-16,3,700
16,2019-01-17,4,653
17,2019-01-18,5,668
18,2019-01-19,6,522
19,2019-01-20,7,493
20,2019-01-21,1,557
21,2019-01-22,2,626
22,2019-01-23,3,662
23,2019-01-24,4,607
24,2019-01-25,5,586
25,2019-01-26,6,532
26,2019-01-27,7,524
27,2019-01-28,1,522
28,2019-01-29,2,494
29,2019-01-30,3,341
30,2019-01-31,4,459
31,2019-02-01,5,776
32,2019-02-02,6,722
33,2019-02-03,7,596
34,2019-02-04,1,736
35,2019-02-05,2,653
36,2019-02-06,3,636
37,2019-02-07,4,670
38,2019-02-08,5,642
39,2019-02-09,6,756
40,2019-02-10,7,638
41,2019-02-11,1,626
42,2019-02-12,2,665
43,2019-02-13,3,643
44,2019-02-14,4,742
45,2019-02-15,5,741
46,2019-02-16,6,677
47,2019-02-17,7,618
48,2019-02-18,1,590
49,2019-02-19,2,613
50,2019-02-20,3,635
51,2019-02-21,4,696
52,2019-02-22,5,712
53,2019-02-23,6,647
54,2019-02-24,7,547
55,2019-02-25,1,597
56,2019-02-26,2,609
57,2019-02-27,3,649
58,2019-02-28,4,595
59,2019-03-01,5,758
60,2019-03-02,6,665
61,2019-03-03,7,552
62,2019-03-04,1,544
63,2019-03-05,2,542
64,2019-03-06,3,629
65,2019-03-07,4,610
66,2019-03-08,5,718
67,2019-03-09,6,618
68,2019-03-10,7,612
69,2019-03-11,1,700
70,2019-03-12,2,628
71,2019-03-13,3,688
72,2019-03-14,4,676
73,2019-03-15,5,735
74,2019-03-16,6,766
75,2019-03-17,7,612
76,2019-03-18,1,651
77,2019-03-19,2,644
78,2019-03-20,3,693
79,2019-03-21,4,689
80,2019-03-22,5,709
81,2019-03-23,6,690
82,2019-03-24,7,648
83,2019-03-25,1,639
84,2019-03-26,2,672
85,2019-03-27,3,698
86,2019-03-28,4,683
87,2019-03-29,5,675
88,2019-03-30,6,663
89,2019-03-31,7,637
