,date,day_of_week,district,crime_count
0,2016-01-01,5,1,41
1,2016-01-01,5,2,52
2,2016-01-01,5,3,47
3,2016-01-01,5,4,68
4,2016-01-01,5,5,56
5,2016-01-01,5,6,65
6,2016-01-01,5,7,68
7,2016-01-01,5,8,76
8,2016-01-01,5,9,49
9,2016-01-01,5,10,64
10,2016-01-01,5,11,86
11,2016-01-01,5,12,69
12,2016-01-01,5,14,49
13,2016-01-01,5,15,57
14,2016-01-01,5,16,44
15,2016-01-01,5,17,38
16,2016-01-01,5,18,51
17,2016-01-01,5,19,53
18,2016-01-01,5,20,11
19,2016-01-01,5,22,41
20,2016-01-01,5,24,22
21,2016-01-01,5,25,71
22,2016-01-02,6,1,35
23,2016-01-02,6,2,28
24,2016-01-02,6,3,31
25,2016-01-02,6,4,26
26,2016-01-02,6,5,23
27,2016-01-02,6,6,34
28,2016-01-02,6,7,33
29,2016-01-02,6,8,25
30,2016-01-02,6,9,24
31,2016-01-02,6,10,25
32,2016-01-02,6,11,42
33,2016-01-02,6,12,32
34,2016-01-02,6,14,22
35,2016-01-02,6,15,29
36,2016-01-02,6,16,16
37,2016-01-02,6,17,11
38,2016-01-02,6,18,36
39,2016-01-02,6,19,37
40,2016-01-02,6,20,9
41,2016-01-02,6,22,16
42,2016-01-02,6,24,17
43,2016-01-02,6,25,25
44,2016-01-03,7,1,40
45,2016-01-03,7,2,12
46,2016-01-03,7,3,30
47,2016-01-03,7,4,33
48,2016-01-03,7,5,20
49,2016-01-03,7,6,44
50,2016-01-03,7,7,36
51,2016-01-03,7,8,35
52,2016-01-03,7,9,37
53,2016-01-03,7,10,31
54,2016-01-03,7,11,46
55,2016-01-03,7,12,36
56,2016-01-03,7,14,20
57,2016-01-03,7,15,27
58,2016-01-03,7,16,17
59,2016-01-03,7,17,12
60,2016-01-03,7,18,51
61,2016-01-03,7,19,24
62,2016-01-03,7,20,10
63,2016-01-03,7,22,18
64,2016-01-03,7,24,13
65,2016-01-03,7,25,26
66,2016-01-04,1,1,37
67,2016-01-04,1,2,24
68,2016-01-04,1,3,27
69,2016-01-04,1,4,31
70,2016-01-04,1,5,28
71,2016-01-04,1,6,40
72,2016-01-04,1,7,40
73,2016-01-04,1,8,51
74,2016-01-04,1,9,32
75,2016-01-04,1,10,26
76,2016-01-04,1,11,31
77,2016-01-04,1,12,28
78,2016-01-04,1,14,24
79,2016-01-04,1,15,27
80,2016-01-04,1,16,29
81,2016-01-04,1,17,20
82,2016-01-04,1,18,34
83,2016-01-04,1,19,22
84,2016-01-04,1,20,11
85,2016-01-04,1,22,16
86,2016-01-04,1,24,14
87,2016-01-04,1,25,34
88,2016-01-05,2,1,46
89,2016-01-05,2,2,32
90,2016-01-05,2,3,25
91,2016-01-05,2,4,29
92,2016-01-05,2,5,21
93,2016-01-05,2,6,33
94,2016-01-05,2,7,33
95,2016-01-05,2,8,29
96,2016-01-05,2,9,30
97,2016-01-05,2,10,34
98,2016-01-05,2,11,44
99,2016-01-05,2,12,34
100,2016-01-05,2,14,22
101,2016-01-05,2,15,38
102,2016-01-05,2,16,20
103,2016-01-05,2,17,19
104,2016-01-05,2,18,30
105,2016-01-05,2,19,23
106,2016-01-05,2,20,11
107,2016-01-05,2,22,24
108,2016-01-05,2,24,12
109,2016-01-05,2,25,38
110,2016-01-06,3,1,36
111,2016-01-06,3,2,27
112,2016-01-06,3,3,22
113,2016-01-06,3,4,31
114,2016-01-06,3,5,18
115,2016-01-06,3,6,37
116,2016-01-06,3,7,28
117,2016-01-06,3,8,47
118,2016-01-06,3,9,32
119,2016-01-06,3,10,24
120,2016-01-06,3,11,46
121,2016-01-06,3,12,32
122,2016-01-06,3,14,23
123,2016-01-06,3,15,24
124,2016-01-06,3,16,19
125,2016-01-06,3,17,13
126,2016-01-06,3,18,35
127,2016-01-06,3,19,30
128,2016-01-06,3,20,10
129,2016-01-06,3,22,24
130,2016-01-06,3,24,14
131,2016-01-06,3,25,55
132,2016-01-06,3,31,1
133,2016-01-07,4,1,45
134,2016-01-07,4,2,25
135,2016-01-07,4,3,34
136,2016-01-07,4,4,57
137,2016-01-07,4,5,24
138,2016-01-07,4,6,44
139,2016-01-07,4,7,36
140,2016-01-07,4,8,43
141,2016-01-07,4,9,35
142,2016-01-07,4,10,23
143,2016-01-07,4,11,68
144,2016-01-07,4,12,35
145,2016-01-07,4,14,9
146,2016-01-07,4,15,25
147,2016-01-07,4,16,29
148,2016-01-07,4,17,20
149,2016-01-07,4,18,30
150,2016-01-07,4,19,26
151,2016-01-07,4,20,9
152,2016-01-07,4,22,22
153,2016-01-07,4,24,26
154,2016-01-07,4,25,43
155,2016-01-08,5,1,31
156,2016-01-08,5,2,27
157,2016-01-08,5,3,37
158,2016-01-08,5,4,39
159,2016-01-08,5,5,29
160,2016-01-08,5,6,45
161,2016-01-08,5,7,43
162,2016-01-08,5,8,58
163,2016-01-08,5,9,47
164,2016-01-08,5,10,26
165,2016-01-08,5,11,62
166,2016-01-08,5,12,32
167,2016-01-08,5,14,31
168,2016-01-08,5,15,34
169,2016-01-08,5,16,21
170,2016-01-08,5,17,20
171,2016-01-08,5,18,37
172,2016-01-08,5,19,42
173,2016-01-08,5,20,10
174,2016-01-08,5,22,19
175,2016-01-08,5,24,20
176,2016-01-08,5,25,34
177,2016-01-09,6,1,31
178,2016-01-09,6,2,23
179,2016-01-09,6,3,20
180,2016-01-09,6,4,35
181,2016-01-09,6,5,28
182,2016-01-09,6,6,49
183,2016-01-09,6,7,44
184,2016-01-09,6,8,44
185,2016-01-09,6,9,38
186,2016-01-09,6,10,25
187,2016-01-09,6,11,51
188,2016-01-09,6,12,34
189,2016-01-09,6,14,24
190,2016-01-09,6,15,29
191,2016-01-09,6,16,20
192,2016-01-09,6,17,11
193,2016-01-09,6,18,31
194,2016-01-09,6,19,35
195,2016-01-09,6,20,14
196,2016-01-09,6,22,23
197,2016-01-09,6,24,12
198,2016-01-09,6,25,29
199,2016-01-10,7,1,23
200,2016-01-10,7,2,19
