,date,day_of_week,crime_count
0,2017-01-01,7,1209
1,2017-01-02,1,613
2,2017-01-03,2,718
3,2017-01-04,3,612
4,2017-01-05,4,611
5,2017-01-06,5,601
6,2017-01-07,6,618
7,2017-01-08,7,591
8,2017-01-09,1,713
9,2017-01-10,2,705
10,2017-01-11,3,663
11,2017-01-12,4,644
12,2017-01-13,5,800
13,2017-01-14,6,685
14,2017-01-15,7,656
15,2017-01-16,1,652
16,2017-01-17,2,705
17,2017-01-18,3,707
18,2017-01-19,4,738
19,2017-01-20,5,783
20,2017-01-21,6,786
21,2017-01-22,7,742
22,2017-01-23,1,789
23,2017-01-24,2,736
24,2017-01-25,3,748
25,2017-01-26,4,675
26,2017-01-27,5,784
27,2017-01-28,6,731
28,2017-01-29,7,634
29,2017-01-30,1,757
30,2017-01-31,2,734
31,2017-02-01,3,847
32,2017-02-02,4,671
33,2017-02-03,5,670
34,2017-02-04,6,638
35,2017-02-05,7,695
36,2017-02-06,1,762
37,2017-02-07,2,693
38,2017-02-08,3,666
39,2017-02-09,4,668
40,2017-02-10,5,745
41,2017-02-11,6,704
42,2017-02-12,7,678
43,2017-02-13,1,718
44,2017-02-14,2,713
45,2017-02-15,3,674
46,2017-02-16,4,671
47,2017-02-17,5,832
48,2017-02-18,6,748
49,2017-02-19,7,674
50,2017-02-20,1,711
51,2017-02-21,2,679
52,2017-02-22,3,703
53,2017-02-23,4,655
54,2017-02-24,5,660
55,2017-02-25,6,599
56,2017-02-26,7,576
57,2017-02-27,1,633
58,2017-02-28,2,631
59,2017-03-01,3,742
60,2017-03-02,4,629
61,2017-03-03,5,673
62,2017-03-04,6,633
63,2017-03-05,7,662
64,2017-03-06,1,683
65,2017-03-07,2,683
66,2017-03-08,3,667
67,2017-03-09,4,676
68,2017-03-10,5,666
69,2017-03-11,6,659
70,2017-03-12,7,553
71,2017-03-13,1,541
72,2017-03-14,2,474
73,2017-03-15,3,609
74,2017-03-16,4,668
75,2017-03-17,5,709
76,2017-03-18,6,674
77,2017-03-19,7,605
78,2017-03-20,1,696
79,2017-03-21,2,650
80,2017-03-22,3,646
81,2017-03-23,4,666
82,2017-03-24,5,779
83,2017-03-25,6,695
84,2017-03-26,7,702
85,2017-03-27,1,722
86,2017-03-28,2,673
87,2017-03-29,3,669
88,2017-03-30,4,691
89,2017-03-31,5,777
90,2017-04-01,6,831
91,2017-04-02,7,690
92,2017-04-03,1,697
93,2017-04-04,2,712
94,2017-04-05,3,633
95,2017-04-06,4,668
96,2017-04-07,5,705
97,2017-04-08,6,696
98,2017-04-09,7,761
99,2017-04-10,1,683
100,2017-04-11,2,703
101,2017-04-12,3,727
102,2017-04-13,4,665
103,2017-04-14,5,773
104,2017-04-15,6,817
105,2017-04-16,7,687
106,2017-04-17,1,752
107,2017-04-18,2,735
108,2017-04-19,3,758
109,2017-04-20,4,713
110,2017-04-21,5,815
111,2017-04-22,6,701
112,2017-04-23,7,703
113,2017-04-24,1,736
114,2017-04-25,2,757
115,2017-04-26,3,758
116,2017-04-27,4,716
117,2017-04-28,5,832
118,2017-04-29,6,616
119,2017-04-30,7,657
120,2017-05-01,1,863
121,2017-05-02,2,689
122,2017-05-03,3,739
123,2017-05-04,4,741
124,2017-05-05,5,799
125,2017-05-06,6,713
126,2017-05-07,7,630
127,2017-05-08,1,705
128,2017-05-09,2,707
129,2017-05-10,3,663
130,2017-05-11,4,737
131,2017-05-12,5,849
132,2017-05-13,6,724
133,2017-05-14,7,712
134,2017-05-15,1,871
135,2017-05-16,2,748
136,2017-05-17,3,835
137,2017-05-18,4,775
138,2017-05-19,5,776
139,2017-05-20,6,664
140,2017-05-21,7,791
141,2017-05-22,1,797
142,2017-05-23,2,739
143,2017-05-24,3,762
144,2017-05-25,4,763
145,2017-05-26,5,767
146,2017-05-27,6,800
147,2017-05-28,7,705
148,2017-05-29,1,768
149,2017-05-30,2,814
150,2017-05-31,3,739
