,date,day_of_week,crime_count
151,2017-06-01,4,895
152,2017-06-02,5,841
153,2017-06-03,6,823
154,2017-06-04,7,820
155,2017-06-05,1,737
156,2017-06-06,2,826
157,2017-06-07,3,788
158,2017-06-08,4,769
159,2017-06-09,5,816
160,2017-06-10,6,785
161,2017-06-11,7,813
162,2017-06-12,1,742
163,2017-06-13,2,809
164,2017-06-14,3,769
165,2017-06-15,4,823
166,2017-06-16,5,835
167,2017-06-17,6,827
168,2017-06-18,7,786
169,2017-06-19,1,745
170,2017-06-20,2,803
171,2017-06-21,3,786
172,2017-06-22,4,818
173,2017-06-23,5,778
174,2017-06-24,6,819
175,2017-06-25,7,796
176,2017-06-26,1,787
177,2017-06-27,2,772
178,2017-06-28,3,707
179,2017-06-29,4,776
180,2017-06-30,5,778
181,2017-07-01,6,934
182,2017-07-02,7,780
183,2017-07-03,1,864
184,2017-07-04,2,796
185,2017-07-05,3,859
186,2017-07-06,4,781
187,2017-07-07,5,758
188,2017-07-08,6,759
189,2017-07-09,7,823
190,2017-07-10,1,779
191,2017-07-11,2,769
192,2017-07-12,3,691
193,2017-07-13,4,820
194,2017-07-14,5,798
195,2017-07-15,6,889
196,2017-07-16,7,812
197,2017-07-17,1,847
198,2017-07-18,2,792
199,2017-07-19,3,769
200,2017-07-20,4,761
201,2017-07-21,5,758
202,2017-07-22,6,755
203,2017-07-23,7,842
204,2017-07-24,1,782
205,2017-07-25,2,850
206,2017-07-26,3,752
207,2017-07-27,4,790
208,2017-07-28,5,851
209,2017-07-29,6,800
210,2017-07-30,7,818
211,2017-07-31,1,794
212,2017-08-01,2,961
213,2017-08-02,3,774
214,2017-08-03,4,849
215,2017-08-04,5,924
216,2017-08-05,6,928
217,2017-08-06,7,865
218,2017-08-07,1,773
219,2017-08-08,2,768
220,2017-08-09,3,769
221,2017-08-10,4,790
222,2017-08-11,5,765
223,2017-08-12,6,813
224,2017-08-13,7,730
225,2017-08-14,1,815
226,2017-08-15,2,795
227,2017-08-16,3,795
228,2017-08-17,4,768
229,2017-08-18,5,859
230,2017-08-19,6,892
231,2017-08-20,7,776
232,2017-08-21,1,754
233,2017-08-22,2,780
234,2017-08-23,3,747
235,2017-08-24,4,801
236,2017-08-25,5,772
237,2017-08-26,6,779
238,2017-08-27,7,756
239,2017-08-28,1,688
240,2017-08-29,2,724
241,2017-08-30,3,788
242,2017-08-31,4,736
243,2017-09-01,5,920
244,2017-09-02,6,772
245,2017-09-03,7,757
246,2017-09-04,1,716
247,2017-09-05,2,705
248,2017-09-06,3,648
249,2017-09-07,4,728
250,2017-09-08,5,702
251,2017-09-09,6,736
252,2017-09-10,7,739
253,2017-09-11,1,691
254,2017-09-12,2,726
255,2017-09-13,3,706
256,2017-09-14,4,734
257,2017-09-15,5,808
258,2017-09-16,6,826
259,2017-09-17,7,812
260,2017-09-18,1,772
261,2017-09-19,2,708
262,2017-09-20,3,827
263,2017-09-21,4,807
264,2017-09-22,5,798
265,2017-09-23,6,830
266,2017-09-24,7,811
267,2017-09-25,1,822
268,2017-09-26,2,749
269,2017-09-27,3,726
270,2017-09-28,4,717
271,2017-09-29,5,810
272,2017-09-30,6,746
273,2017-10-01,7,852
274,2017-10-02,1,752
275,2017-10-03,2,738
276,2017-10-04,3,742
277,2017-10-05,4,747
278,2017-10-06,5,748
279,2017-10-07,6,712
280,2017-10-08,7,718
281,2017-10-09,1,746
282,2017-10-10,2,703
283,2017-10-11,3,617
284,2017-10-12,4,765
285,2017-10-13,5,769
286,2017-10-14,6,647
287,2017-10-15,7,639
288,2017-10-16,1,763
289,2017-10-17,2,719
290,2017-10-18,3,774
291,2017-10-19,4,774
292,2017-10-20,5,849
293,2017-10-21,6,814
294,2017-10-22,7,739
295,2017-10-23,1,740
296,2017-10-24,2,689
297,2017-10-25,3,714
298,2017-10-26,4,755
299,2017-10-27,5,819
300,2017-10-28,6,717
301,2017-10-29,7,696
302,2017-10-30,1,708
303,2017-10-31,2,758
304,2017-11-01,3,825
305,2017-11-02,4,722
306,2017-11-03,5,789
307,2017-11-04,6,756
308,2017-11-05,7,773
309,2017-11-06,1,717
310,2017-11-07,2,678
311,2017-11-08,3,758
312,2017-11-09,4,656
313,2017-11-10,5,678
314,2017-11-11,6,688
315,2017-11-12,7,666
316,2017-11-13,1,718
317,2017-11-14,2,700
318,2017-11-15,3,709
319,2017-11-16,4,765
320,2017-11-17,5,741
321,2017-11-18,6,698
322,2017-11-19,7,690
323,2017-11-20,1,762
324,2017-11-21,2,673
325,2017-11-22,3,656
326,2017-11-23,4,543
327,2017-11-24,5,683
328,2017-11-25,6,714
329,2017-11-26,7,666
330,2017-11-27,1,774
331,2017-11-28,2,783
332,2017-11-29,3,771
333,2017-11-30,4,751
334,2017-12-01,5,919
335,2017-12-02,6,758
336,2017-12-03,7,676
337,2017-12-04,1,809
338,2017-12-05,2,712
339,2017-12-06,3,711
340,2017-12-07,4,625
341,2017-12-08,5,736
342,2017-12-09,6,659
343,2017-12-10,7,664
344,2017-12-11,1,740
345,2017-12-12,2,684
346,2017-12-13,3,700
347,2017-12-14,4,718
348,2017-12-15,5,768
349,2017-12-16,6,772
350,2017-12-17,7,729
351,2017-12-18,1,727
352,2017-12-19,2,764
353,2017-12-20,3,704
354,2017-12-21,4,747
355,2017-12-22,5,784
356,2017-12-23,6,714
357,2017-12-24,7,504
358,2017-12-25,1,394
359,2017-12-26,2,526
360,2017-12-27,3,523
361,2017-12-28,4,601
362,2017-12-29,5,574
363,2017-12-30,6,621
364,2017-12-31,7,541
