,date,day_of_week,district,crime_count
0,2019-01-01,2,1,37
1,2019-01-01,2,2,42
2,2019-01-01,2,3,55
3,2019-01-01,2,4,77
4,2019-01-01,2,5,44
5,2019-01-01,2,6,78
6,2019-01-01,2,7,74
7,2019-01-01,2,8,58
8,2019-01-01,2,9,41
9,2019-01-01,2,10,60
10,2019-01-01,2,11,83
11,2019-01-01,2,12,56
12,2019-01-01,2,14,34
13,2019-01-01,2,15,40
14,2019-01-01,2,16,29
15,2019-01-01,2,17,23
16,2019-01-01,2,18,57
17,2019-01-01,2,19,52
18,2019-01-01,2,20,14
19,2019-01-01,2,22,32
20,2019-01-01,2,24,31
21,2019-01-01,2,25,61
22,2019-01-02,3,1,28
23,2019-01-02,3,2,25
24,2019-01-02,3,3,30
25,2019-01-02,3,4,40
26,2019-01-02,3,5,38
27,2019-01-02,3,6,48
28,2019-01-02,3,7,35
29,2019-01-02,3,8,41
30,2019-01-02,3,9,19
31,2019-01-02,3,10,34
32,2019-01-02,3,11,61
33,2019-01-02,3,12,31
34,2019-01-02,3,14,33
35,2019-01-02,3,15,22
36,2019-01-02,3,16,22
37,2019-01-02,3,17,18
38,2019-01-02,3,18,32
39,2019-01-02,3,19,21
40,2019-01-02,3,20,12
41,2019-01-02,3,22,21
42,2019-01-02,3,24,18
43,2019-01-02,3,25,26
44,2019-01-03,4,1,52
45,2019-01-03,4,2,32
46,2019-01-03,4,3,37
47,2019-01-03,4,4,47
48,2019-01-03,4,5,31
49,2019-01-03,4,6,40
50,2019-01-03,4,7,47
51,2019-01-03,4,8,52
52,2019-01-03,4,9,25
53,2019-01-03,4,10,44
54,2019-01-03,4,11,45
55,2019-01-03,4,12,30
56,2019-01-03,4,14,20
57,2019-01-03,4,15,27
58,2019-01-03,4,16,28
59,2019-01-03,4,17,18
60,2019-01-03,4,18,43
61,2019-01-03,4,19,29
62,2019-01-03,4,20,17
63,2019-01-03,4,22,33
64,2019-01-03,4,24,23
65,2019-01-03,4,25,32
66,2019-01-04,5,1,40
67,2019-01-04,5,2,28
68,2019-01-04,5,3,22
69,2019-01-04,5,4,34
70,2019-01-04,5,5,43
71,2019-01-04,5,6,56
72,2019-01-04,5,7,47
73,2019-01-04,5,8,45
74,2019-01-04,5,9,27
75,2019-01-04,5,10,47
76,2019-01-04,5,11,60
77,2019-01-04,5,12,36
78,2019-01-04,5,14,22
79,2019-01-04,5,15,22
80,2019-01-04,5,16,28
81,2019-01-04,5,17,24
82,2019-01-04,5,18,46
83,2019-01-04,5,19,39
84,2019-01-04,5,20,17
85,2019-01-04,5,22,23
86,2019-01-04,5,24,19
87,2019-01-04,5,25,45
88,2019-01-05,6,1,45
89,2019-01-05,6,2,24
90,2019-01-05,6,3,35
91,2019-01-05,6,4,42
92,2019-01-05,6,5,57
93,2019-01-05,6,6,40
94,2019-01-05,6,7,48
95,2019-01-05,6,8,37
96,2019-01-05,6,9,29
97,2019-01-05,6,10,46
98,2019-01-05,6,11,84
99,2019-01-05,6,12,38
100,2019-01-05,6,14,30
101,2019-01-05,6,15,33
102,2019-01-05,6,16,20
103,2019-01-05,6,17,25
104,2019-01-05,6,18,52
105,2019-01-05,6,19,32
106,2019-01-05,6,20,12
107,2019-01-05,6,22,16
108,2019-01-05,6,24,13
109,2019-01-05,6,25,34
110,2019-01-06,7,1,43
111,2019-01-06,7,2,22
112,2019-01-06,7,3,38
113,2019-01-06,7,4,34
114,2019-01-06,7,5,27
115,2019-01-06,7,6,35
116,2019-01-06,7,7,25
117,2019-01-06,7,8,39
118,2019-01-06,7,9,29
119,2019-01-06,7,10,31
120,2019-01-06,7,11,50
121,2019-01-06,7,12,29
122,2019-01-06,7,14,24
123,2019-01-06,7,15,34
124,2019-01-06,7,16,30
125,2019-01-06,7,17,17
126,2019-01-06,7,18,42
127,2019-01-06,7,19,35
128,2019-01-06,7,20,11
129,2019-01-06,7,22,17
130,2019-01-06,7,24,19
131,2019-01-06,7,25,33
132,2019-01-07,1,1,44
133,2019-01-07,1,2,38
134,2019-01-07,1,3,26
135,2019-01-07,1,4,43
136,2019-01-07,1,5,26
137,2019-01-07,1,6,37
138,2019-01-07,1,7,32
139,2019-01-07,1,8,37
140,2019-01-07,1,9,25
141,2019-01-07,1,10,30
142,2019-01-07,1,11,44
143,2019-01-07,1,12,35
144,2019-01-07,1,14,31
145,2019-01-07,1,15,28
146,2019-01-07,1,16,20
147,2019-01-07,1,17,22
148,2019-01-07,1,18,39
149,2019-01-07,1,19,30
150,2019-01-07,1,20,16
151,2019-01-07,1,22,22
152,2019-01-07,1,24,20
153,2019-01-07,1,25,31
154,2019-01-08,2,1,33
155,2019-01-08,2,2,33
156,2019-01-08,2,3,33
157,2019-01-08,2,4,36
158,2019-01-08,2,5,25
159,2019-01-08,2,6,48
160,2019-01-08,2,7,38
161,2019-01-08,2,8,45
162,2019-01-08,2,9,38
163,2019-01-08,2,10,30
164,2019-01-08,2,11,67
165,2019-01-08,2,12,28
166,2019-01-08,2,14,28
167,2019-01-08,2,15,25
168,2019-01-08,2,16,28
169,2019-01-08,2,17,15
170,2019-01-08,2,18,36
171,2019-01-08,2,19,30
172,2019-01-08,2,20,10
173,2019-01-08,2,22,28
174,2019-01-08,2,24,21
175,2019-01-08,2,25,26
176,2019-01-09,3,1,34
177,2019-01-09,3,2,30
178,2019-01-09,3,3,40
179,2019-01-09,3,4,30
180,2019-01-09,3,5,30
181,2019-01-09,3,6,27
182,2019-01-09,3,7,30
183,2019-01-09,3,8,44
184,2019-01-09,3,9,23
185,2019-01-09,3,10,30
186,2019-01-09,3,11,41
187,2019-01-09,3,12,34
188,2019-01-09,3,14,30
189,2019-01-09,3,15,19
190,2019-01-09,3,16,31
191,2019-01-09,3,17,11
192,2019-01-09,3,18,37
193,2019-01-09,3,19,23
194,2019-01-09,3,20,11
195,2019-01-09,3,22,25
196,2019-01-09,3,24,19
197,2019-01-09,3,25,32
198,2019-01-10,4,1,41
199,2019-01-10,4,2,39
200,2019-01-10,4,3,30
201,2019-01-10,4,4,35
202,2019-01-10,4,5,23
203,2019-01-10,4,6,45
204,2019-01-10,4,7,36
205,2019-01-10,4,8,44
206,2019-01-10,4,9,24
207,2019-01-10,4,10,38
208,2019-01-10,4,11,49
209,2019-01-10,4,12,39
210,2019-01-10,4,14,11
211,2019-01-10,4,15,20
212,2019-01-10,4,16,21
213,2019-01-10,4,17,16
214,2019-01-10,4,18,43
215,2019-01-10,4,19,29
216,2019-01-10,4,20,16
217,2019-01-10,4,22,26
218,2019-01-10,4,24,18
219,2019-01-10,4,25,43
220,2019-01-11,5,1,40
221,2019-01-11,5,2,31
222,2019-01-11,5,3,40
223,2019-01-11,5,4,42
224,2019-01-11,5,5,31
225,2019-01-11,5,6,57
226,2019-01-11,5,7,28
227,2019-01-11,5,8,46
228,2019-01-11,5,9,37
229,2019-01-11,5,10,44
230,2019-01-11,5,11,59
231,2019-01-11,5,12,42
232,2019-01-11,5,14,31
233,2019-01-11,5,15,34
234,2019-01-11,5,16,27
235,2019-01-11,5,17,23
236,2019-01-11,5,18,56
237,2019-01-11,5,19,25
238,2019-01-11,5,20,15
239,2019-01-11,5,22,17
240,2019-01-11,5,24,18
241,2019-01-11,5,25,41
242,2019-01-12,6,1,40
243,2019-01-12,6,2,27
244,2019-01-12,6,3,32
245,2019-01-12,6,4,35
246,2019-01-12,6,5,23
247,2019-01-12,6,6,23
248,2019-01-12,6,7,21
249,2019-01-12,6,8,34
250,2019-01-12,6,9,29
251,2019-01-12,6,10,31
252,2019-01-12,6,11,52
253,2019-01-12,6,12,37
254,2019-01-12,6,14,33
255,2019-01-12,6,15,26
256,2019-01-12,6,16,19
257,2019-01-12,6,17,22
258,2019-01-12,6,18,55
259,2019-01-12,6,19,36
260,2019-01-12,6,20,15
261,2019-01-12,6,22,17
262,2019-01-12,6,24,23
263,2019-01-12,6,25,43
264,2019-01-13,7,1,27
265,2019-01-13,7,2,24
266,2019-01-13,7,3,42
267,2019-01-13,7,4,28
268,2019-01-13,7,5,17
269,2019-01-13,7,6,26
270,2019-01-13,7,7,33
271,2019-01-13,7,8,46
272,2019-01-13,7,9,17
273,2019-01-13,7,10,23
274,2019-01-13,7,11,53
275,2019-01-13,7,12,29
276,2019-01-13,7,14,24
277,2019-01-13,7,15,23
278,2019-01-13,7,16,16
279,2019-01-13,7,17,9
280,2019-01-13,7,18,33
281,2019-01-13,7,19,24
282,2019-01-13,7,20,9
283,2019-01-13,7,22,18
284,2019-01-13,7,24,15
285,2019-01-13,7,25,37
286,2019-01-14,1,1,40
287,2019-01-14,1,2,24
288,2019-01-14,1,3,29
289,2019-01-14,1,4,38
290,2019-01-14,1,5,27
291,2019-01-14,1,6,39
292,2019-01-14,1,7,29
293,2019-01-14,1,8,40
294,2019-01-14,1,9,17
295,2019-01-14,1,10,41
296,2019-01-14,1,11,31
297,2019-01-14,1,12,34
298,2019-01-14,1,14,26
299,2019-01-14,1,15,20
300,2019-01-14,1,16,29
301,2019-01-14,1,17,25
302,2019-01-14,1,18,36
303,2019-01-14,1,19,24
304,2019-01-14,1,20,13
305,2019-01-14,1,22,21
306,2019-01-14,1,24,22
307,2019-01-14,1,25,31
308,2019-01-15,2,1,48
309,2019-01-15,2,2,31
310,2019-01-15,2,3,34
311,2019-01-15,2,4,29
312,2019-01-15,2,5,28
313,2019-01-15,2,6,33
314,2019-01-15,2,7,33
315,2019-01-15,2,8,50
316,2019-01-15,2,9,31
317,2019-01-15,2,10,42
318,2019-01-15,2,11,47
319,2019-01-15,2,12,35
320,2019-01-15,2,14,25
321,2019-01-15,2,15,19
322,2019-01-15,2,16,27
323,2019-01-15,2,17,13
324,2019-01-15,2,18,39
325,2019-01-15,2,19,31
326,2019-01-15,2,20,8
327,2019-01-15,2,22,25
328,2019-01-15,2,24,23
329,2019-01-15,2,25,47
330,2019-01-16,3,1,58
331,2019-01-16,3,2,31
332,2019-01-16,3,3,31
333,2019-01-16,3,4,44
334,2019-01-16,3,5,34
335,2019-01-16,3,6,38
336,2019-01-16,3,7,32
337,2019-01-16,3,8,35
338,2019-01-16,3,9,25
339,2019-01-16,3,10,42
340,2019-01-16,3,11,45
341,2019-01-16,3,12,37
342,2019-01-16,3,14,21
343,2019-01-16,3,15,22
344,2019-01-16,3,16,21
345,2019-01-16,3,17,19
346,2019-01-16,3,18,47
347,2019-01-16,3,19,24
348,2019-01-16,3,20,14
349,2019-01-16,3,22,27
350,2019-01-16,3,24,20
351,2019-01-16,3,25,33
352,2019-01-17,4,1,44
353,2019-01-17,4,2,29
354,2019-01-17,4,3,25
355,2019-01-17,4,4,29
356,2019-01-17,4,5,21
357,2019-01-17,4,6,32
358,2019-01-17,4,7,41
359,2019-01-17,4,8,43
360,2019-01-17,4,9,32
361,2019-01-17,4,10,32
362,2019-01-17,4,11,60
363,2019-01-17,4,12,33
364,2019-01-17,4,14,19
365,2019-01-17,4,15,21
366,2019-01-17,4,16,24
367,2019-01-17,4,17,12
368,2019-01-17,4,18,51
369,2019-01-17,4,19,30
370,2019-01-17,4,20,11
371,2019-01-17,4,22,17
372,2019-01-17,4,24,24
373,2019-01-17,4,25,23
374,2019-01-18,5,1,47
375,2019-01-18,5,2,25
376,2019-01-18,5,3,35
377,2019-01-18,5,4,31
378,2019-01-18,5,5,31
379,2019-01-18,5,6,45
380,2019-01-18,5,7,34
381,2019-01-18,5,8,50
382,2019-01-18,5,9,29
383,2019-01-18,5,10,25
384,2019-01-18,5,11,51
385,2019-01-18,5,12,29
386,2019-01-18,5,14,21
387,2019-01-18,5,15,18
388,2019-01-18,5,16,27
389,2019-01-18,5,17,19
390,2019-01-18,5,18,31
391,2019-01-18,5,19,30
392,2019-01-18,5,20,14
393,2019-01-18,5,22,21
394,2019-01-18,5,24,17
395,2019-01-18,5,25,38
396,2019-01-19,6,1,25
397,2019-01-19,6,2,21
398,2019-01-19,6,3,19
399,2019-01-19,6,4,33
400,2019-01-19,6,5,24
401,2019-01-19,6,6,32
402,2019-01-19,6,7,35
403,2019-01-19,6,8,32
404,2019-01-19,6,9,19
405,2019-01-19,6,10,24
406,2019-01-19,6,11,35
407,2019-01-19,6,12,23
408,2019-01-19,6,14,10
409,2019-01-19,6,15,23
410,2019-01-19,6,16,17
411,2019-01-19,6,17,12
412,2019-01-19,6,18,40
413,2019-01-19,6,19,27
414,2019-01-19,6,20,7
415,2019-01-19,6,22,18
416,2019-01-19,6,24,24
417,2019-01-19,6,25,22
418,2019-01-20,7,1,19
419,2019-01-20,7,2,22
420,2019-01-20,7,3,28
421,2019-01-20,7,4,31
422,2019-01-20,7,5,27
423,2019-01-20,7,6,30
424,2019-01-20,7,7,23
425,2019-01-20,7,8,29
426,2019-01-20,7,9,19
427,2019-01-20,7,10,33
428,2019-01-20,7,11,25
429,2019-01-20,7,12,27
430,2019-01-20,7,14,13
431,2019-01-20,7,15,19
432,2019-01-20,7,16,25
433,2019-01-20,7,17,17
434,2019-01-20,7,18,35
435,2019-01-20,7,19,31
436,2019-01-20,7,20,3
437,2019-01-20,7,22,8
438,2019-01-20,7,24,12
439,2019-01-20,7,25,17
440,2019-01-21,1,1,36
441,2019-01-21,1,2,28
442,2019-01-21,1,3,22
443,2019-01-21,1,4,22
444,2019-01-21,1,5,31
445,2019-01-21,1,6,27
446,2019-01-21,1,7,23
447,2019-01-21,1,8,35
448,2019-01-21,1,9,19
449,2019-01-21,1,10,39
450,2019-01-21,1,11,41
451,2019-01-21,1,12,15
452,2019-01-21,1,14,20
453,2019-01-21,1,15,23
454,2019-01-21,1,16,20
455,2019-01-21,1,17,18
456,2019-01-21,1,18,35
457,2019-01-21,1,19,25
458,2019-01-21,1,20,11
459,2019-01-21,1,22,23
460,2019-01-21,1,24,13
461,2019-01-21,1,25,31
462,2019-01-22,2,1,43
463,2019-01-22,2,2,32
464,2019-01-22,2,3,28
465,2019-01-22,2,4,35
466,2019-01-22,2,5,34
467,2019-01-22,2,6,43
468,2019-01-22,2,7,24
469,2019-01-22,2,8,41
470,2019-01-22,2,9,34
471,2019-01-22,2,10,22
472,2019-01-22,2,11,51
473,2019-01-22,2,12,29
474,2019-01-22,2,14,14
475,2019-01-22,2,15,26
476,2019-01-22,2,16,23
477,2019-01-22,2,17,21
478,2019-01-22,2,18,32
479,2019-01-22,2,19,27
480,2019-01-22,2,20,8
481,2019-01-22,2,22,16
482,2019-01-22,2,24,13
483,2019-01-22,2,25,30
484,2019-01-23,3,1,55
485,2019-01-23,3,2,20
486,2019-01-23,3,3,28
487,2019-01-23,3,4,21
488,2019-01-23,3,5,27
489,2019-01-23,3,6,36
490,2019-01-23,3,7,28
491,2019-01-23,3,8,40
492,2019-01-23,3,9,35
493,2019-01-23,3,10,26
494,2019-01-23,3,11,74
495,2019-01-23,3,12,29
496,2019-01-23,3,14,29
497,2019-01-23,3,15,21
498,2019-01-23,3,16,22
499,2019-01-23,3,17,17
500,2019-01-23,3,18,34
501,2019-01-23,3,19,35
502,2019-01-23,3,20,16
503,2019-01-23,3,22,18
504,2019-01-23,3,24,15
505,2019-01-23,3,25,36
506,2019-01-24,4,1,42
507,2019-01-24,4,2,23
508,2019-01-24,4,3,32
509,2019-01-24,4,4,36
510,2019-01-24,4,5,21
511,2019-01-24,4,6,36
512,2019-01-24,4,7,21
513,2019-01-24,4,8,35
514,2019-01-24,4,9,25
515,2019-01-24,4,10,27
516,2019-01-24,4,11,40
517,2019-01-24,4,12,36
518,2019-01-24,4,14,22
519,2019-01-24,4,15,22
520,2019-01-24,4,16,22
521,2019-01-24,4,17,19
522,2019-01-24,4,18,35
