,date,day_of_week,crime_count
94,2016-04-04,1,661
95,2016-04-05,2,677
96,2016-04-06,3,660
97,2016-04-07,4,742
98,2016-04-08,5,626
99,2016-04-09,6,689
100,2016-04-10,7,704
101,2016-04-11,1,676
102,2016-04-12,2,701
103,2016-04-13,3,715
104,2016-04-14,4,691
105,2016-04-15,5,811
106,2016-04-16,6,734
107,2016-04-17,7,708
108,2016-04-18,1,738
109,2016-04-19,2,703
110,2016-04-20,3,690
111,2016-04-21,4,714
112,2016-04-22,5,731
113,2016-04-23,6,694
114,2016-04-24,7,756
115,2016-04-25,1,758
116,2016-04-26,2,693
117,2016-04-27,3,661
118,2016-04-28,4,732
119,2016-04-29,5,719
120,2016-04-30,6,605
121,2016-05-01,7,820
122,2016-05-02,1,757
123,2016-05-03,2,735
124,2016-05-04,3,682
125,2016-05-05,4,701
126,2016-05-06,5,794
127,2016-05-07,6,742
128,2016-05-08,7,729
129,2016-05-09,1,732
130,2016-05-10,2,713
131,2016-05-11,3,758
132,2016-05-12,4,690
133,2016-05-13,5,808
134,2016-05-14,6,723
135,2016-05-15,7,739
136,2016-05-16,1,782
137,2016-05-17,2,692
138,2016-05-18,3,801
139,2016-05-19,4,765
140,2016-05-20,5,805
141,2016-05-21,6,792
142,2016-05-22,7,750
143,2016-05-23,1,782
144,2016-05-24,2,803
145,2016-05-25,3,721
146,2016-05-26,4,767
147,2016-05-27,5,800
148,2016-05-28,6,791
149,2016-05-29,7,798
150,2016-05-30,1,820
151,2016-05-31,2,756
152,2016-06-01,3,939
153,2016-06-02,4,800
154,2016-06-03,5,822
155,2016-06-04,6,827
156,2016-06-05,7,777
157,2016-06-06,1,792
158,2016-06-07,2,754
159,2016-06-08,3,744
160,2016-06-09,4,727
161,2016-06-10,5,765
162,2016-06-11,6,816
163,2016-06-12,7,852
164,2016-06-13,1,794
165,2016-06-14,2,835
166,2016-06-15,3,790
167,2016-06-16,4,821
168,2016-06-17,5,830
169,2016-06-18,6,763
170,2016-06-19,7,811
171,2016-06-20,1,857
172,2016-06-21,2,825
173,2016-06-22,3,749
174,2016-06-23,4,801
175,2016-06-24,5,807
176,2016-06-25,6,813
177,2016-06-26,7,775
178,2016-06-27,1,771
179,2016-06-28,2,767
180,2016-06-29,3,804
181,2016-06-30,4,847
182,2016-07-01,5,963
183,2016-07-02,6,756
184,2016-07-03,7,782
185,2016-07-04,1,848
186,2016-07-05,2,895
187,2016-07-06,3,742
188,2016-07-07,4,790
189,2016-07-08,5,791
190,2016-07-09,6,729
191,2016-07-10,7,760
192,2016-07-11,1,701
193,2016-07-12,2,780
194,2016-07-13,3,726
195,2016-07-14,4,769
196,2016-07-15,5,846
197,2016-07-16,6,780
198,2016-07-17,7,789
199,2016-07-18,1,799
200,2016-07-19,2,791
201,2016-07-20,3,825
202,2016-07-21,4,785
203,2016-07-22,5,792
204,2016-07-23,6,814
205,2016-07-24,7,790
206,2016-07-25,1,827
207,2016-07-26,2,877
208,2016-07-27,3,795
209,2016-07-28,4,774
210,2016-07-29,5,802
211,2016-07-30,6,927
212,2016-07-31,7,813
213,2016-08-01,1,883
214,2016-08-02,2,793
215,2016-08-03,3,772
216,2016-08-04,4,793
217,2016-08-05,5,863
218,2016-08-06,6,828
219,2016-08-07,7,838
220,2016-08-08,1,804
221,2016-08-09,2,725
222,2016-08-10,3,722
223,2016-08-11,4,852
224,2016-08-12,5,746
225,2016-08-13,6,827
226,2016-08-14,7,843
227,2016-08-15,1,844
228,2016-08-16,2,816
229,2016-08-17,3,862
230,2016-08-18,4,767
231,2016-08-19,5,793
232,2016-08-20,6,844
233,2016-08-21,7,786
234,2016-08-22,1,728
235,2016-08-23,2,753
236,2016-08-24,3,823
237,2016-08-25,4,770
238,2016-08-26,5,803
239,2016-08-27,6,819
240,2016-08-28,7,805
241,2016-08-29,1,884
242,2016-08-30,2,757
243,2016-08-31,3,780
244,2016-09-01,4,1037
245,2016-09-02,5,799
246,2016-09-03,6,830
247,2016-09-04,7,779
248,2016-09-05,1,822
249,2016-09-06,2,761
250,2016-09-07,3,723
251,2016-09-08,4,795
252,2016-09-09,5,818
253,2016-09-10,6,767
254,2016-09-11,7,758
255,2016-09-12,1,793
256,2016-09-13,2,786
257,2016-09-14,3,820
258,2016-09-15,4,823
259,2016-09-16,5,807
260,2016-09-17,6,834
261,2016-09-18,7,781
262,2016-09-19,1,712
263,2016-09-20,2,792
264,2016-09-21,3,731
265,2016-09-22,4,831
266,2016-09-23,5,845
267,2016-09-24,6,833
268,2016-09-25,7,809
269,2016-09-26,1,764
270,2016-09-27,2,735
271,2016-09-28,3,635
272,2016-09-29,4,702
273,2016-09-30,5,772
274,2016-10-01,6,862
275,2016-10-02,7,707
276,2016-10-03,1,772
277,2016-10-04,2,743
278,2016-10-05,3,805
279,2016-10-06,4,754
280,2016-10-07,5,863
281,2016-10-08,6,715
282,2016-10-09,7,682
283,2016-10-10,1,724
284,2016-10-11,2,697
285,2016-10-12,3,746
286,2016-10-13,4,694
287,2016-10-14,5,821
288,2016-10-15,6,823
289,2016-10-16,7,790
290,2016-10-17,1,817
291,2016-10-18,2,774
292,2016-10-19,3,712
293,2016-10-20,4,717
294,2016-10-21,5,760
295,2016-10-22,6,774
296,2016-10-23,7,785
297,2016-10-24,1,770
298,2016-10-25,2,736
299,2016-10-26,3,699
300,2016-10-27,4,731
301,2016-10-28,5,802
302,2016-10-29,6,831
303,2016-10-30,7,786
304,2016-10-31,1,867
305,2016-11-01,2,910
306,2016-11-02,3,749
307,2016-11-03,4,783
308,2016-11-04,5,783
309,2016-11-05,6,821
310,2016-11-06,7,753
311,2016-11-07,1,738
312,2016-11-08,2,644
313,2016-11-09,3,680
314,2016-11-10,4,723
315,2016-11-11,5,798
316,2016-11-12,6,780
317,2016-11-13,7,660
318,2016-11-14,1,670
319,2016-11-15,2,712
320,2016-11-16,3,770
321,2016-11-17,4,811
322,2016-11-18,5,794
323,2016-11-19,6,677
324,2016-11-20,7,663
325,2016-11-21,1,683
326,2016-11-22,2,723
327,2016-11-23,3,699
328,2016-11-24,4,534
329,2016-11-25,5,689
330,2016-11-26,6,719
331,2016-11-27,7,693
332,2016-11-28,1,693
333,2016-11-29,2,698
334,2016-11-30,3,697
335,2016-12-01,4,822
336,2016-12-02,5,835
337,2016-12-03,6,758
338,2016-12-04,7,595
339,2016-12-05,1,678
340,2016-12-06,2,688
341,2016-12-07,3,660
342,2016-12-08,4,606
343,2016-12-09,5,668
344,2016-12-10,6,612
345,2016-12-11,7,512
346,2016-12-12,1,629
347,2016-12-13,2,575
348,2016-12-14,3,610
349,2016-12-15,4,580
350,2016-12-16,5,695
351,2016-12-17,6,614
352,2016-12-18,7,526
353,2016-12-19,1,660
354,2016-12-20,2,693
355,2016-12-21,3,729
356,2016-12-22,4,702
357,2016-12-23,5,728
358,2016-12-24,6,604
359,2016-12-25,7,488
360,2016-12-26,1,647
361,2016-12-27,2,663
362,2016-12-28,3,722
363,2016-12-29,4,647
364,2016-12-30,5,742
365,2016-12-31,6,704
