,date,day_of_week,crime_count
0,2016-01-01,5,1178
1,2016-01-02,6,576
2,2016-01-03,7,618
3,2016-01-04,1,626
4,2016-01-05,2,627
5,2016-01-06,3,628
6,2016-01-07,4,708
7,2016-01-08,5,744
8,2016-01-09,6,650
9,2016-01-10,7,597
10,2016-01-11,1,513
11,2016-01-12,2,548
12,2016-01-13,3,654
13,2016-01-14,4,734
14,2016-01-15,5,734
15,2016-01-16,6,652
16,2016-01-17,7,537
17,2016-01-18,1,515
18,2016-01-19,2,610
19,2016-01-20,3,619
20,2016-01-21,4,634
21,2016-01-22,5,701
22,2016-01-23,6,722
23,2016-01-24,7,676
24,2016-01-25,1,744
25,2016-01-26,2,640
26,2016-01-27,3,669
27,2016-01-28,4,752
28,2016-01-29,5,746
29,2016-01-30,6,743
30,2016-01-31,7,665
31,2016-02-01,1,853
32,2016-02-02,2,614
33,2016-02-03,3,682
34,2016-02-04,4,670
35,2016-02-05,5,660
36,2016-02-06,6,696
37,2016-02-07,7,617
38,2016-02-08,1,570
39,2016-02-09,2,545
40,2016-02-10,3,565
41,2016-02-11,4,582
42,2016-02-12,5,647
43,2016-02-13,6,597
44,2016-02-14,7,514
45,2016-02-15,1,553
46,2016-02-16,2,625
47,2016-02-17,3,641
48,2016-02-18,4,681
49,2016-02-19,5,775
50,2016-02-20,6,702
51,2016-02-21,7,707
52,2016-02-22,1,639
53,2016-02-23,2,630
54,2016-02-24,3,578
55,2016-02-25,4,699
56,2016-02-26,5,740
57,2016-02-27,6,692
58,2016-02-28,7,625
59,2016-02-29,1,646
60,2016-03-01,2,817
61,2016-03-02,3,609
62,2016-03-03,4,617
63,2016-03-04,5,704
64,2016-03-05,6,700
65,2016-03-06,7,714
66,2016-03-07,1,795
67,2016-03-08,2,723
68,2016-03-09,3,679
69,2016-03-10,4,716
70,2016-03-11,5,733
71,2016-03-12,6,746
72,2016-03-13,7,628
73,2016-03-14,1,684
74,2016-03-15,2,713
75,2016-03-16,3,745
76,2016-03-17,4,738
77,2016-03-18,5,791
78,2016-03-19,6,699
79,2016-03-20,7,686
80,2016-03-21,1,699
81,2016-03-22,2,722
82,2016-03-23,3,686
83,2016-03-24,4,677
84,2016-03-25,5,717
85,2016-03-26,6,735
86,2016-03-27,7,631
87,2016-03-28,1,741
88,2016-03-29,2,739
89,2016-03-30,3,716
90,2016-03-31,4,754
91,2016-04-01,5,829
92,2016-04-02,6,651
93,2016-04-03,7,706
