,date,day_of_week,district,crime_count
0,2017-01-01,7,1.0,36
1,2017-01-01,7,2.0,43
2,2017-01-01,7,3.0,55
3,2017-01-01,7,4.0,55
4,2017-01-01,7,5.0,60
5,2017-01-01,7,6.0,88
6,2017-01-01,7,7.0,53
7,2017-01-01,7,8.0,82
8,2017-01-01,7,9.0,59
9,2017-01-01,7,10.0,61
10,2017-01-01,7,11.0,69
11,2017-01-01,7,12.0,67
12,2017-01-01,7,14.0,51
13,2017-01-01,7,15.0,37
14,2017-01-01,7,16.0,45
15,2017-01-01,7,17.0,45
16,2017-01-01,7,18.0,63
17,2017-01-01,7,19.0,64
18,2017-01-01,7,20.0,15
19,2017-01-01,7,22.0,48
20,2017-01-01,7,24.0,41
21,2017-01-01,7,25.0,72
22,2017-01-02,1,1.0,21
23,2017-01-02,1,2.0,23
24,2017-01-02,1,3.0,32
25,2017-01-02,1,4.0,37
26,2017-01-02,1,5.0,34
27,2017-01-02,1,6.0,45
28,2017-01-02,1,7.0,31
29,2017-01-02,1,8.0,44
30,2017-01-02,1,9.0,31
31,2017-01-02,1,10.0,28
32,2017-01-02,1,11.0,48
33,2017-01-02,1,12.0,22
34,2017-01-02,1,14.0,27
35,2017-01-02,1,15.0,21
36,2017-01-02,1,16.0,20
37,2017-01-02,1,17.0,14
38,2017-01-02,1,18.0,35
39,2017-01-02,1,19.0,23
40,2017-01-02,1,20.0,8
41,2017-01-02,1,22.0,17
42,2017-01-02,1,24.0,19
43,2017-01-02,1,25.0,33
44,2017-01-03,2,1.0,44
45,2017-01-03,2,2.0,42
46,2017-01-03,2,3.0,27
47,2017-01-03,2,4.0,38
48,2017-01-03,2,5.0,26
49,2017-01-03,2,6.0,38
50,2017-01-03,2,7.0,36
51,2017-01-03,2,8.0,39
52,2017-01-03,2,9.0,35
53,2017-01-03,2,10.0,37
54,2017-01-03,2,11.0,51
55,2017-01-03,2,12.0,39
56,2017-01-03,2,14.0,33
57,2017-01-03,2,15.0,31
58,2017-01-03,2,16.0,29
59,2017-01-03,2,17.0,24
60,2017-01-03,2,18.0,35
61,2017-01-03,2,19.0,16
62,2017-01-03,2,20.0,16
63,2017-01-03,2,22.0,20
64,2017-01-03,2,24.0,20
65,2017-01-03,2,25.0,42
66,2017-01-04,3,1.0,31
67,2017-01-04,3,2.0,29
68,2017-01-04,3,3.0,20
69,2017-01-04,3,4.0,30
70,2017-01-04,3,5.0,22
71,2017-01-04,3,6.0,45
72,2017-01-04,3,7.0,31
73,2017-01-04,3,8.0,54
74,2017-01-04,3,9.0,24
75,2017-01-04,3,10.0,19
76,2017-01-04,3,11.0,42
77,2017-01-04,3,12.0,26
78,2017-01-04,3,14.0,28
79,2017-01-04,3,15.0,24
80,2017-01-04,3,16.0,26
81,2017-01-04,3,17.0,21
82,2017-01-04,3,18.0,26
83,2017-01-04,3,19.0,24
84,2017-01-04,3,20.0,10
85,2017-01-04,3,22.0,22
86,2017-01-04,3,24.0,21
87,2017-01-04,3,25.0,37
88,2017-01-05,4,1.0,44
89,2017-01-05,4,2.0,21
90,2017-01-05,4,3.0,26
91,2017-01-05,4,4.0,33
92,2017-01-05,4,5.0,23
93,2017-01-05,4,6.0,32
94,2017-01-05,4,7.0,28
95,2017-01-05,4,8.0,39
96,2017-01-05,4,9.0,24
97,2017-01-05,4,10.0,25
98,2017-01-05,4,11.0,43
99,2017-01-05,4,12.0,33
100,2017-01-05,4,14.0,21
101,2017-01-05,4,15.0,33
102,2017-01-05,4,16.0,24
103,2017-01-05,4,17.0,20
104,2017-01-05,4,18.0,35
105,2017-01-05,4,19.0,25
106,2017-01-05,4,20.0,12
107,2017-01-05,4,22.0,14
108,2017-01-05,4,24.0,21
109,2017-01-05,4,25.0,35
110,2017-01-06,5,1.0,25
111,2017-01-06,5,2.0,25
112,2017-01-06,5,3.0,24
113,2017-01-06,5,4.0,31
114,2017-01-06,5,5.0,21
115,2017-01-06,5,6.0,51
116,2017-01-06,5,7.0,28
117,2017-01-06,5,8.0,35
118,2017-01-06,5,9.0,25
119,2017-01-06,5,10.0,24
120,2017-01-06,5,11.0,43
121,2017-01-06,5,12.0,35
122,2017-01-06,5,14.0,38
123,2017-01-06,5,15.0,25
124,2017-01-06,5,16.0,12
125,2017-01-06,5,17.0,16
126,2017-01-06,5,18.0,23
127,2017-01-06,5,19.0,30
128,2017-01-06,5,20.0,9
129,2017-01-06,5,22.0,26
130,2017-01-06,5,24.0,17
131,2017-01-06,5,25.0,38
132,2017-01-07,6,1.0,32
133,2017-01-07,6,2.0,27
134,2017-01-07,6,3.0,35
135,2017-01-07,6,4.0,29
136,2017-01-07,6,5.0,21
137,2017-01-07,6,6.0,41
138,2017-01-07,6,7.0,27
139,2017-01-07,6,8.0,35
140,2017-01-07,6,9.0,21
141,2017-01-07,6,10.0,28
142,2017-01-07,6,11.0,36
143,2017-01-07,6,12.0,33
144,2017-01-07,6,14.0,24
145,2017-01-07,6,15.0,23
146,2017-01-07,6,16.0,23
147,2017-01-07,6,17.0,22
148,2017-01-07,6,18.0,38
149,2017-01-07,6,19.0,28
150,2017-01-07,6,20.0,4
151,2017-01-07,6,22.0,23
152,2017-01-07,6,24.0,27
153,2017-01-07,6,25.0,41
154,2017-01-08,7,1.0,19
155,2017-01-08,7,2.0,27
156,2017-01-08,7,3.0,26
157,2017-01-08,7,4.0,27
158,2017-01-08,7,5.0,22
159,2017-01-08,7,6.0,29
160,2017-01-08,7,7.0,29
161,2017-01-08,7,8.0,31
162,2017-01-08,7,9.0,37
163,2017-01-08,7,10.0,25
164,2017-01-08,7,11.0,40
165,2017-01-08,7,12.0,29
166,2017-01-08,7,14.0,23
167,2017-01-08,7,15.0,26
168,2017-01-08,7,16.0,25
169,2017-01-08,7,17.0,15
170,2017-01-08,7,18.0,33
171,2017-01-08,7,19.0,19
172,2017-01-08,7,20.0,13
173,2017-01-08,7,22.0,23
174,2017-01-08,7,24.0,29
175,2017-01-08,7,25.0,44
176,2017-01-09,1,1.0,26
177,2017-01-09,1,2.0,26
178,2017-01-09,1,3.0,30
179,2017-01-09,1,4.0,42
180,2017-01-09,1,5.0,20
181,2017-01-09,1,6.0,43
182,2017-01-09,1,7.0,28
183,2017-01-09,1,8.0,53
184,2017-01-09,1,9.0,31
185,2017-01-09,1,10.0,37
186,2017-01-09,1,11.0,59
187,2017-01-09,1,12.0,34
188,2017-01-09,1,14.0,27
189,2017-01-09,1,15.0,28
190,2017-01-09,1,16.0,31
191,2017-01-09,1,17.0,20
192,2017-01-09,1,18.0,47
193,2017-01-09,1,19.0,27
194,2017-01-09,1,20.0,16
195,2017-01-09,1,22.0,22
196,2017-01-09,1,24.0,22
197,2017-01-09,1,25.0,44
198,2017-01-10,2,1.0,38
199,2017-01-10,2,2.0,44
200,2017-01-10,2,3.0,41
201,2017-01-10,2,4.0,36
202,2017-01-10,2,5.0,34
203,2017-01-10,2,6.0,48
204,2017-01-10,2,7.0,31
205,2017-01-10,2,8.0,56
206,2017-01-10,2,9.0,32
207,2017-01-10,2,10.0,26
208,2017-01-10,2,11.0,40
209,2017-01-10,2,12.0,37
210,2017-01-10,2,14.0,22
211,2017-01-10,2,15.0,30
212,2017-01-10,2,16.0,22
213,2017-01-10,2,17.0,14
214,2017-01-10,2,18.0,32
215,2017-01-10,2,19.0,28
216,2017-01-10,2,20.0,9
217,2017-01-10,2,22.0,30
218,2017-01-10,2,24.0,14
219,2017-01-10,2,25.0,41
220,2017-01-11,3,1.0,33
221,2017-01-11,3,2.0,28
222,2017-01-11,3,3.0,26
223,2017-01-11,3,4.0,24
224,2017-01-11,3,5.0,29
225,2017-01-11,3,6.0,44
226,2017-01-11,3,7.0,43
227,2017-01-11,3,8.0,43
228,2017-01-11,3,9.0,22
229,2017-01-11,3,10.0,27
230,2017-01-11,3,11.0,51
231,2017-01-11,3,12.0,39
232,2017-01-11,3,14.0,27
233,2017-01-11,3,15.0,26
234,2017-01-11,3,16.0,32
235,2017-01-11,3,17.0,17
236,2017-01-11,3,18.0,32
237,2017-01-11,3,19.0,30
238,2017-01-11,3,20.0,9
239,2017-01-11,3,22.0,16
240,2017-01-11,3,24.0,22
241,2017-01-11,3,25.0,43
242,2017-01-12,4,1.0,32
243,2017-01-12,4,2.0,21
244,2017-01-12,4,3.0,40
245,2017-01-12,4,4.0,29
246,2017-01-12,4,5.0,28
247,2017-01-12,4,6.0,28
248,2017-01-12,4,7.0,31
249,2017-01-12,4,8.0,33
250,2017-01-12,4,9.0,31
251,2017-01-12,4,10.0,32
252,2017-01-12,4,11.0,42
253,2017-01-12,4,12.0,49
254,2017-01-12,4,14.0,27
255,2017-01-12,4,15.0,27
256,2017-01-12,4,16.0,18
257,2017-01-12,4,17.0,18
258,2017-01-12,4,18.0,32
259,2017-01-12,4,19.0,28
260,2017-01-12,4,20.0,9
261,2017-01-12,4,22.0,20
262,2017-01-12,4,24.0,13
263,2017-01-12,4,25.0,56
264,2017-01-13,5,1.0,34
265,2017-01-13,5,2.0,24
266,2017-01-13,5,3.0,33
267,2017-01-13,5,4.0,32
268,2017-01-13,5,5.0,33
269,2017-01-13,5,6.0,48
270,2017-01-13,5,7.0,45
271,2017-01-13,5,8.0,55
272,2017-01-13,5,9.0,54
273,2017-01-13,5,10.0,40
274,2017-01-13,5,11.0,66
275,2017-01-13,5,12.0,51
276,2017-01-13,5,14.0,31
277,2017-01-13,5,15.0,34
278,2017-01-13,5,16.0,26
279,2017-01-13,5,17.0,23
280,2017-01-13,5,18.0,39
281,2017-01-13,5,19.0,34
282,2017-01-13,5,20.0,13
283,2017-01-13,5,22.0,25
284,2017-01-13,5,24.0,17
285,2017-01-13,5,25.0,42
286,2017-01-13,5,31.0,1
287,2017-01-14,6,1.0,28
288,2017-01-14,6,2.0,23
289,2017-01-14,6,3.0,16
290,2017-01-14,6,4.0,39
291,2017-01-14,6,5.0,26
292,2017-01-14,6,6.0,40
293,2017-01-14,6,7.0,35
294,2017-01-14,6,8.0,56
295,2017-01-14,6,9.0,25
296,2017-01-14,6,10.0,35
297,2017-01-14,6,11.0,63
298,2017-01-14,6,12.0,42
299,2017-01-14,6,14.0,25
300,2017-01-14,6,15.0,28
301,2017-01-14,6,16.0,26
302,2017-01-14,6,17.0,24
303,2017-01-14,6,18.0,33
304,2017-01-14,6,19.0,33
305,2017-01-14,6,20.0,10
306,2017-01-14,6,22.0,27
307,2017-01-14,6,24.0,15
308,2017-01-14,6,25.0,36
309,2017-01-15,7,1.0,23
310,2017-01-15,7,2.0,27
311,2017-01-15,7,3.0,21
312,2017-01-15,7,4.0,38
313,2017-01-15,7,5.0,26
314,2017-01-15,7,6.0,36
315,2017-01-15,7,7.0,37
316,2017-01-15,7,8.0,42
317,2017-01-15,7,9.0,32
318,2017-01-15,7,10.0,32
319,2017-01-15,7,11.0,46
320,2017-01-15,7,12.0,32
321,2017-01-15,7,14.0,29
322,2017-01-15,7,15.0,25
323,2017-01-15,7,16.0,25
324,2017-01-15,7,17.0,12
325,2017-01-15,7,18.0,51
326,2017-01-15,7,19.0,30
327,2017-01-15,7,20.0,12
328,2017-01-15,7,22.0,22
329,2017-01-15,7,24.0,21
330,2017-01-15,7,25.0,37
331,2017-01-16,1,1.0,40
332,2017-01-16,1,2.0,30
333,2017-01-16,1,3.0,23
334,2017-01-16,1,4.0,38
335,2017-01-16,1,5.0,21
336,2017-01-16,1,6.0,41
337,2017-01-16,1,7.0,33
338,2017-01-16,1,8.0,51
339,2017-01-16,1,9.0,24
340,2017-01-16,1,10.0,38
341,2017-01-16,1,11.0,49
342,2017-01-16,1,12.0,27
343,2017-01-16,1,14.0,18
344,2017-01-16,1,15.0,25
345,2017-01-16,1,16.0,35
346,2017-01-16,1,17.0,19
347,2017-01-16,1,18.0,30
348,2017-01-16,1,19.0,23
349,2017-01-16,1,20.0,9
350,2017-01-16,1,22.0,25
351,2017-01-16,1,24.0,10
352,2017-01-16,1,25.0,43
353,2017-01-17,2,1.0,37
354,2017-01-17,2,2.0,31
355,2017-01-17,2,3.0,30
356,2017-01-17,2,4.0,32
357,2017-01-17,2,5.0,40
358,2017-01-17,2,6.0,41
359,2017-01-17,2,7.0,45
360,2017-01-17,2,8.0,41
361,2017-01-17,2,9.0,29
362,2017-01-17,2,10.0,30
363,2017-01-17,2,11.0,44
364,2017-01-17,2,12.0,50
365,2017-01-17,2,14.0,22
366,2017-01-17,2,15.0,19
367,2017-01-17,2,16.0,21
368,2017-01-17,2,17.0,19
369,2017-01-17,2,18.0,30
370,2017-01-17,2,19.0,32
371,2017-01-17,2,20.0,10
372,2017-01-17,2,22.0,25
373,2017-01-17,2,24.0,24
374,2017-01-17,2,25.0,53
375,2017-01-18,3,1.0,26
376,2017-01-18,3,2.0,32
377,2017-01-18,3,3.0,29
378,2017-01-18,3,4.0,45
379,2017-01-18,3,5.0,33
380,2017-01-18,3,6.0,57
381,2017-01-18,3,7.0,34
382,2017-01-18,3,8.0,47
383,2017-01-18,3,9.0,31
384,2017-01-18,3,10.0,40
385,2017-01-18,3,11.0,40
386,2017-01-18,3,12.0,46
387,2017-01-18,3,14.0,32
388,2017-01-18,3,15.0,21
389,2017-01-18,3,16.0,19
390,2017-01-18,3,17.0,17
391,2017-01-18,3,18.0,31
392,2017-01-18,3,19.0,26
393,2017-01-18,3,20.0,13
394,2017-01-18,3,22.0,35
395,2017-01-18,3,24.0,15
396,2017-01-18,3,25.0,38
397,2017-01-19,4,1.0,37
398,2017-01-19,4,2.0,27
399,2017-01-19,4,3.0,32
400,2017-01-19,4,4.0,45
401,2017-01-19,4,5.0,30
402,2017-01-19,4,6.0,47
403,2017-01-19,4,7.0,42
404,2017-01-19,4,8.0,52
405,2017-01-19,4,9.0,35
406,2017-01-19,4,10.0,34
407,2017-01-19,4,11.0,65
408,2017-01-19,4,12.0,25
409,2017-01-19,4,14.0,37
410,2017-01-19,4,15.0,30
411,2017-01-19,4,16.0,17
412,2017-01-19,4,17.0,20
413,2017-01-19,4,18.0,27
414,2017-01-19,4,19.0,33
415,2017-01-19,4,20.0,12
416,2017-01-19,4,22.0,27
417,2017-01-19,4,24.0,16
418,2017-01-19,4,25.0,48
419,2017-01-20,5,1.0,41
420,2017-01-20,5,2.0,35
421,2017-01-20,5,3.0,34
422,2017-01-20,5,4.0,35
423,2017-01-20,5,5.0,25
424,2017-01-20,5,6.0,48
425,2017-01-20,5,7.0,44
426,2017-01-20,5,8.0,61
427,2017-01-20,5,9.0,41
428,2017-01-20,5,10.0,36
429,2017-01-20,5,11.0,65
430,2017-01-20,5,12.0,41
431,2017-01-20,5,14.0,26
432,2017-01-20,5,15.0,28
433,2017-01-20,5,16.0,27
434,2017-01-20,5,17.0,23
435,2017-01-20,5,18.0,32
436,2017-01-20,5,19.0,27
437,2017-01-20,5,20.0,11
438,2017-01-20,5,22.0,27
439,2017-01-20,5,24.0,25
440,2017-01-20,5,25.0,51
441,2017-01-21,6,1.0,40
442,2017-01-21,6,2.0,26
443,2017-01-21,6,3.0,31
444,2017-01-21,6,4.0,42
445,2017-01-21,6,5.0,36
446,2017-01-21,6,6.0,44
447,2017-01-21,6,7.0,47
448,2017-01-21,6,8.0,46
449,2017-01-21,6,9.0,29
450,2017-01-21,6,10.0,39
451,2017-01-21,6,11.0,61
452,2017-01-21,6,12.0,45
453,2017-01-21,6,14.0,27
454,2017-01-21,6,15.0,31
455,2017-01-21,6,16.0,21
456,2017-01-21,6,17.0,19
457,2017-01-21,6,18.0,50
458,2017-01-21,6,19.0,45
459,2017-01-21,6,20.0,13
460,2017-01-21,6,22.0,24
461,2017-01-21,6,24.0,22
462,2017-01-21,6,25.0,48
463,2017-01-22,7,1.0,28
464,2017-01-22,7,2.0,35
465,2017-01-22,7,3.0,31
466,2017-01-22,7,4.0,52
467,2017-01-22,7,5.0,34
468,2017-01-22,7,6.0,60
469,2017-01-22,7,7.0,40
470,2017-01-22,7,8.0,38
471,2017-01-22,7,9.0,26
472,2017-01-22,7,10.0,33
473,2017-01-22,7,11.0,50
474,2017-01-22,7,12.0,48
475,2017-01-22,7,14.0,28
476,2017-01-22,7,15.0,28
477,2017-01-22,7,16.0,21
478,2017-01-22,7,17.0,22
479,2017-01-22,7,18.0,44
480,2017-01-22,7,19.0,31
481,2017-01-22,7,20.0,19
482,2017-01-22,7,22.0,14
483,2017-01-22,7,24.0,25
484,2017-01-22,7,25.0,35
485,2017-01-23,1,1.0,40
486,2017-01-23,1,2.0,29
487,2017-01-23,1,3.0,34
488,2017-01-23,1,4.0,57
489,2017-01-23,1,5.0,38
490,2017-01-23,1,6.0,43
491,2017-01-23,1,7.0,39
492,2017-01-23,1,8.0,47
493,2017-01-23,1,9.0,36
494,2017-01-23,1,10.0,36
495,2017-01-23,1,11.0,56
496,2017-01-23,1,12.0,45
497,2017-01-23,1,14.0,31
498,2017-01-23,1,15.0,42
499,2017-01-23,1,16.0,18
500,2017-01-23,1,17.0,26
501,2017-01-23,1,18.0,40
502,2017-01-23,1,19.0,32
503,2017-01-23,1,20.0,17
504,2017-01-23,1,22.0,23
505,2017-01-23,1,24.0,21
506,2017-01-23,1,25.0,39
507,2017-01-24,2,1.0,45
508,2017-01-24,2,2.0,22
509,2017-01-24,2,3.0,44
510,2017-01-24,2,4.0,43
511,2017-01-24,2,5.0,35
512,2017-01-24,2,6.0,41
513,2017-01-24,2,7.0,46
514,2017-01-24,2,8.0,49
515,2017-01-24,2,9.0,35
516,2017-01-24,2,10.0,31
517,2017-01-24,2,11.0,52
518,2017-01-24,2,12.0,39
519,2017-01-24,2,14.0,32
520,2017-01-24,2,15.0,24
521,2017-01-24,2,16.0,33
522,2017-01-24,2,17.0,20
523,2017-01-24,2,18.0,22
524,2017-01-24,2,19.0,32
525,2017-01-24,2,20.0,13
526,2017-01-24,2,22.0,19
527,2017-01-24,2,24.0,13
528,2017-01-24,2,25.0,46
529,2017-01-25,3,1.0,34
530,2017-01-25,3,2.0,26
531,2017-01-25,3,3.0,48
532,2017-01-25,3,4.0,46
533,2017-01-25,3,5.0,24
534,2017-01-25,3,6.0,52
535,2017-01-25,3,7.0,37
536,2017-01-25,3,8.0,42
537,2017-01-25,3,9.0,40
538,2017-01-25,3,10.0,35
539,2017-01-25,3,11.0,36
540,2017-01-25,3,12.0,43
541,2017-01-25,3,14.0,36
542,2017-01-25,3,15.0,33
543,2017-01-25,3,16.0,24
544,2017-01-25,3,17.0,27
545,2017-01-25,3,18.0,30
546,2017-01-25,3,19.0,37
547,2017-01-25,3,20.0,11
548,2017-01-25,3,22.0,22
549,2017-01-25,3,24.0,21
550,2017-01-25,3,25.0,44
551,2017-01-26,4,1.0,42
552,2017-01-26,4,2.0,34
553,2017-01-26,4,3.0,31
554,2017-01-26,4,4.0,28
555,2017-01-26,4,5.0,17
556,2017-01-26,4,6.0,42
557,2017-01-26,4,7.0,44
558,2017-01-26,4,8.0,41
559,2017-01-26,4,9.0,32
560,2017-01-26,4,10.0,25
561,2017-01-26,4,11.0,53
562,2017-01-26,4,12.0,33
563,2017-01-26,4,14.0,38
564,2017-01-26,4,15.0,18
565,2017-01-26,4,16.0,28
566,2017-01-26,4,17.0,19
567,2017-01-26,4,18.0,30
568,2017-01-26,4,19.0,21
569,2017-01-26,4,20.0,14
570,2017-01-26,4,22.0,24
571,2017-01-26,4,24.0,20
572,2017-01-26,4,25.0,41
573,2017-01-27,5,1.0,53
574,2017-01-27,5,2.0,24
575,2017-01-27,5,3.0,32
576,2017-01-27,5,4.0,39
577,2017-01-27,5,5.0,34
578,2017-01-27,5,6.0,48
579,2017-01-27,5,7.0,34
580,2017-01-27,5,8.0,49
581,2017-01-27,5,9.0,30
582,2017-01-27,5,10.0,36
583,2017-01-27,5,11.0,60
584,2017-01-27,5,12.0,42
585,2017-01-27,5,14.0,39
586,2017-01-27,5,15.0,26
587,2017-01-27,5,16.0,33
588,2017-01-27,5,17.0,23
589,2017-01-27,5,18.0,43
590,2017-01-27,5,19.0,26
591,2017-01-27,5,20.0,17
592,2017-01-27,5,22.0,27
593,2017-01-27,5,24.0,27
594,2017-01-27,5,25.0,42
595,2017-01-28,6,1.0,33
596,2017-01-28,6,2.0,29
597,2017-01-28,6,3.0,37
598,2017-01-28,6,4.0,57
599,2017-01-28,6,5.0,30
600,2017-01-28,6,6.0,46
601,2017-01-28,6,7.0,31
602,2017-01-28,6,8.0,73
603,2017-01-28,6,9.0,26
604,2017-01-28,6,10.0,35
605,2017-01-28,6,11.0,34
606,2017-01-28,6,12.0,50
607,2017-01-28,6,14.0,26
608,2017-01-28,6,15.0,13
609,2017-01-28,6,16.0,26
610,2017-01-28,6,17.0,22
611,2017-01-28,6,18.0,54
612,2017-01-28,6,19.0,30
613,2017-01-28,6,20.0,11
614,2017-01-28,6,22.0,19
615,2017-01-28,6,24.0,19
616,2017-01-28,6,25.0,30
617,2017-01-29,7,1.0,27
618,2017-01-29,7,2.0,29
619,2017-01-29,7,3.0,38
620,2017-01-29,7,4.0,23
621,2017-01-29,7,5.0,29
622,2017-01-29,7,6.0,33
623,2017-01-29,7,7.0,37
624,2017-01-29,7,8.0,61
625,2017-01-29,7,9.0,31
626,2017-01-29,7,10.0,37
627,2017-01-29,7,11.0,53
628,2017-01-29,7,12.0,34
629,2017-01-29,7,14.0,24
630,2017-01-29,7,15.0,18
631,2017-01-29,7,16.0,23
632,2017-01-29,7,17.0,19
633,2017-01-29,7,18.0,24
634,2017-01-29,7,19.0,32
635,2017-01-29,7,20.0,7
636,2017-01-29,7,22.0,12
637,2017-01-29,7,24.0,13
638,2017-01-29,7,25.0,30
639,2017-01-30,1,1.0,45
640,2017-01-30,1,2.0,35
641,2017-01-30,1,3.0,32
642,2017-01-30,1,4.0,38
643,2017-01-30,1,5.0,32
644,2017-01-30,1,6.0,48
645,2017-01-30,1,7.0,38
646,2017-01-30,1,8.0,57
647,2017-01-30,1,9.0,20
648,2017-01-30,1,10.0,40
649,2017-01-30,1,11.0,50
650,2017-01-30,1,12.0,32
651,2017-01-30,1,14.0,24
652,2017-01-30,1,15.0,28
653,2017-01-30,1,16.0,28
654,2017-01-30,1,17.0,18
655,2017-01-30,1,18.0,43
656,2017-01-30,1,19.0,31
657,2017-01-30,1,20.0,17
658,2017-01-30,1,22.0,31
659,2017-01-30,1,24.0,16
660,2017-01-30,1,25.0,54
661,2017-01-31,2,1.0,36
662,2017-01-31,2,2.0,26
663,2017-01-31,2,3.0,41
664,2017-01-31,2,4.0,45
665,2017-01-31,2,5.0,33
666,2017-01-31,2,6.0,44
667,2017-01-31,2,7.0,25
668,2017-01-31,2,8.0,44
669,2017-01-31,2,9.0,34
670,2017-01-31,2,10.0,27
671,2017-01-31,2,11.0,51
672,2017-01-31,2,12.0,37
673,2017-01-31,2,14.0,29
674,2017-01-31,2,15.0,31
675,2017-01-31,2,16.0,21
676,2017-01-31,2,17.0,25
677,2017-01-31,2,18.0,39
678,2017-01-31,2,19.0,28
679,2017-01-31,2,20.0,16
680,2017-01-31,2,22.0,21
681,2017-01-31,2,24.0,30
682,2017-01-31,2,25.0,51
683,2017-02-01,3,1.0,43
684,2017-02-01,3,2.0,32
685,2017-02-01,3,3.0,33
686,2017-02-01,3,4.0,53
687,2017-02-01,3,5.0,40
688,2017-02-01,3,6.0,52
689,2017-02-01,3,7.0,43
690,2017-02-01,3,8.0,69
691,2017-02-01,3,9.0,43
692,2017-02-01,3,10.0,43
693,2017-02-01,3,11.0,65
694,2017-02-01,3,12.0,48
695,2017-02-01,3,14.0,39
696,2017-02-01,3,15.0,34
697,2017-02-01,3,16.0,22
698,2017-02-01,3,17.0,17
699,2017-02-01,3,18.0,33
700,2017-02-01,3,19.0,21
701,2017-02-01,3,20.0,8
702,2017-02-01,3,22.0,28
703,2017-02-01,3,24.0,34
704,2017-02-01,3,25.0,47
705,2017-02-02,4,1.0,45
706,2017-02-02,4,2.0,29
707,2017-02-02,4,3.0,32
708,2017-02-02,4,4.0,29
709,2017-02-02,4,5.0,23
710,2017-02-02,4,6.0,36
711,2017-02-02,4,7.0,36
712,2017-02-02,4,8.0,43
713,2017-02-02,4,9.0,28
714,2017-02-02,4,10.0,33
715,2017-02-02,4,11.0,38
716,2017-02-02,4,12.0,35
717,2017-02-02,4,14.0,34
718,2017-02-02,4,15.0,16
719,2017-02-02,4,16.0,31
720,2017-02-02,4,17.0,23
721,2017-02-02,4,18.0,33
722,2017-02-02,4,19.0,25
723,2017-02-02,4,20.0,17
724,2017-02-02,4,22.0,24
725,2017-02-02,4,24.0,23
726,2017-02-02,4,25.0,38
727,2017-02-03,5,1.0,35
728,2017-02-03,5,2.0,31
729,2017-02-03,5,3.0,24
730,2017-02-03,5,4.0,33
731,2017-02-03,5,5.0,34
732,2017-02-03,5,6.0,37
733,2017-02-03,5,7.0,36
734,2017-02-03,5,8.0,51
735,2017-02-03,5,9.0,29
736,2017-02-03,5,10.0,34
737,2017-02-03,5,11.0,63
738,2017-02-03,5,12.0,30
739,2017-02-03,5,14.0,35
740,2017-02-03,5,15.0,21
741,2017-02-03,5,16.0,27
742,2017-02-03,5,17.0,12
743,2017-02-03,5,18.0,36
744,2017-02-03,5,19.0,21
745,2017-02-03,5,20.0,12
746,2017-02-03,5,22.0,16
747,2017-02-03,5,24.0,23
748,2017-02-03,5,25.0,30
749,2017-02-04,6,1.0,26
750,2017-02-04,6,2.0,26
751,2017-02-04,6,3.0,37
752,2017-02-04,6,4.0,34
753,2017-02-04,6,5.0,29
754,2017-02-04,6,6.0,33
755,2017-02-04,6,7.0,35
756,2017-02-04,6,8.0,38
757,2017-02-04,6,9.0,32
758,2017-02-04,6,10.0,31
759,2017-02-04,6,11.0,39
760,2017-02-04,6,12.0,38
761,2017-02-04,6,14.0,24
762,2017-02-04,6,15.0,31
763,2017-02-04,6,16.0,22
764,2017-02-04,6,17.0,18
765,2017-02-04,6,18.0,34
766,2017-02-04,6,19.0,23
767,2017-02-04,6,20.0,14
768,2017-02-04,6,22.0,21
769,2017-02-04,6,24.0,23
770,2017-02-04,6,25.0,30
771,2017-02-05,7,1.0,36
772,2017-02-05,7,2.0,27
773,2017-02-05,7,3.0,31
774,2017-02-05,7,4.0,29
775,2017-02-05,7,5.0,38
776,2017-02-05,7,6.0,43
777,2017-02-05,7,7.0,28
778,2017-02-05,7,8.0,46
779,2017-02-05,7,9.0,25
780,2017-02-05,7,10.0,43
781,2017-02-05,7,11.0,49
782,2017-02-05,7,12.0,26
783,2017-02-05,7,14.0,32
784,2017-02-05,7,15.0,23
785,2017-02-05,7,16.0,23
786,2017-02-05,7,17.0,19
787,2017-02-05,7,18.0,54
788,2017-02-05,7,19.0,36
789,2017-02-05,7,20.0,11
790,2017-02-05,7,22.0,26
791,2017-02-05,7,24.0,22
792,2017-02-05,7,25.0,28
