index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
6308,2018-10-14,7,8.0,48,10,46.56666666666666,38.13333333333333,1016.8,993.4666666666668,9.633333333333333,4.333333333333333,9.966666666666669,14.5,57.26666666666667,35.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5425,2015-09-04,5,8.0,44,9,75.56666666666668,67.13333333333334,1014.65,992.2666666666668,9.7,5.0,11.666666666666666,15.9,91.8,68.26666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7776,2017-12-20,3,8.0,45,12,34.666666666666664,20.03333333333333,1020.1,996.3333333333334,10.0,7.833333333333333,11.633333333333333,17.1,45.46666666666667,29.133333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5397,2019-09-03,2,8.0,39,9,71.46666666666665,65.26666666666667,1013.2,990.9,9.9,8.566666666666666,24.366666666666664,38.63333333333333,81.03333333333333,63.86666666666667,0.0366666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1657,2019-03-17,7,8.0,33,3,34.800000000000004,23.46666666666667,1025.0,334.4666666666667,9.733333333333334,5.066666666666666,13.0,22.0,44.26666666666667,27.366666666666664,0.0066666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6044,2018-10-02,2,8.0,37,10,64.33333333333333,58.93333333333334,1017.4,994.4333333333334,9.3,5.6000000000000005,16.400000000000002,26.3,74.2,58.7,1.475,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6170,2017-10-08,7,8.0,45,10,64.39999999999999,54.06666666666666,1006.9,984.4,10.0,8.9,19.7,30.366666666666664,79.06666666666666,53.3,0.4033333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6336,2016-10-14,5,8.0,45,10,51.0,41.0,1024.65,1001.2666666666668,9.733333333333333,4.566666666666666,12.0,17.45,66.73333333333333,39.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1813,2018-03-24,6,8.0,37,3,35.73333333333333,22.53333333333333,1023.5,999.4666666666668,10.0,12.966666666666669,18.633333333333333,25.633333333333336,41.53333333333333,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5265,2019-08-28,3,8.0,43,8,68.60000000000001,53.3,1012.4,990.1,10.0,9.7,19.03333333333333,29.73333333333333,77.5,59.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7561,2015-12-10,4,8.0,47,12,48.1,38.4,1003.75,980.1666666666666,10.0,12.3,25.4,34.733333333333334,57.93333333333334,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2494,2017-04-24,1,8.0,50,4,56.2,36.333333333333336,1015.2,992.1333333333332,9.8,5.8,12.0,15.45,72.56666666666666,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
