index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
4626,2015-07-30,4,3.0,46,7,77.7,54.5,1015.95,993.8,10.0,8.799999999999999,16.0,21.7,88.83333333333333,65.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2015-01-06,2,3.0,26,1,7.633333333333333,1.1666666666666667,1029.15,1004.2,7.033333333333334,7.966666666666666,18.0,25.066666666666663,11.1,-2.9,0.1033333333333333,2.55,0.0,0.0,1.0,0.0,0.0,0.0
5752,2015-09-19,6,3.0,52,9,66.06666666666666,57.833333333333336,1012.25,988.6666666666666,8.5,9.033333333333331,18.666666666666668,28.633333333333336,77.53333333333335,58.03333333333333,1.39,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3764,2019-06-21,5,3.0,37,6,61.93333333333334,49.79999999999999,1014.4,991.6333333333332,9.8,4.266666666666667,11.7,14.0,71.56666666666666,50.8,0.0166666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1103,2015-02-20,5,3.0,25,2,4.2,-6.033333333333334,1026.8,1001.6333333333332,9.233333333333334,8.766666666666667,18.73333333333333,24.366666666666664,18.33333333333333,-7.266666666666666,0.0,4.1,0.0,0.0,1.0,0.0,0.0,0.0
355,2016-01-17,7,3.0,30,1,9.633333333333333,-1.8,1018.15,993.5666666666666,9.866666666666667,13.066666666666668,18.7,25.73333333333333,26.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2019-01-06,7,3.0,38,1,39.5,32.36666666666667,1021.2,997.5333333333332,10.0,8.133333333333333,14.033333333333331,19.4,48.2,34.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839,2015-02-08,7,3.0,25,2,37.06666666666667,33.9,1004.8,981.6666666666666,6.466666666666666,6.966666666666666,15.733333333333334,21.55,42.16666666666666,20.73333333333333,0.0,6.5,0.0,1.0,0.0,0.0,0.0,0.0
1236,2016-02-26,5,3.0,35,2,31.76666666666667,16.133333333333333,1023.4,999.3333333333334,10.0,8.766666666666667,17.066666666666666,24.7,35.36666666666667,26.53333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4672,2018-08-01,3,3.0,39,8,72.10000000000001,61.03333333333333,1013.95,991.6666666666666,8.333333333333334,4.5,17.333333333333332,26.03333333333333,84.66666666666667,61.3,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7951,2019-12-28,6,3.0,29,12,34.5,30.933333333333334,1023.2,665.4666666666667,6.0,4.766666666666667,10.7,14.0,45.26666666666667,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7287,2017-11-28,2,3.0,33,11,54.73333333333333,36.3,1012.5,989.9333333333334,10.0,14.1,19.7,27.4,61.73333333333333,49.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6132,2016-10-05,3,3.0,46,10,70.0,58.66666666666666,1013.55,991.2,10.0,9.266666666666667,15.366666666666667,22.3,80.96666666666665,61.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2359,2018-04-18,3,3.0,26,4,34.300000000000004,26.399999999999995,1012.15,988.0333333333332,9.266666666666666,8.233333333333333,16.7,22.73333333333333,39.6,28.566666666666663,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1324,2016-03-01,2,3.0,38,3,29.666666666666668,23.83333333333333,1013.55,988.3666666666668,8.066666666666666,13.766666666666666,21.0,27.96666666666667,34.300000000000004,23.166666666666668,0.0433333333333333,1.2,1.0,1.0,1.0,0.0,0.0,0.0
3019,2018-05-18,5,3.0,39,5,56.4,46.73333333333333,1017.3,994.2,9.966666666666669,8.1,12.3,17.1,68.0,50.93333333333334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2271,2018-04-14,6,3.0,33,4,39.86666666666667,38.23333333333333,1009.6,985.7,5.466666666666666,14.966666666666669,22.100000000000005,30.3,42.8,37.53333333333333,0.4433333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3949,2016-06-28,2,3.0,45,6,68.36666666666666,53.8,1019.35,996.9,10.0,9.433333333333334,14.966666666666669,21.33333333333333,81.7,63.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2356,2019-04-18,4,3.0,29,4,58.63333333333333,52.03333333333333,1001.95,979.6333333333332,8.066666666666666,10.2,17.966666666666665,28.666666666666668,74.76666666666667,44.53333333333333,0.12,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1279,2015-02-28,6,3.0,31,2,6.633333333333333,-3.933333333333333,1040.1999999999998,1014.15,9.966666666666669,3.633333333333333,7.633333333333333,,21.866666666666664,-7.466666666666666,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
2224,2019-04-12,5,3.0,39,4,50.1,37.26666666666667,1004.8,981.3,9.233333333333333,14.333333333333334,25.933333333333334,38.63333333333333,60.13333333333333,40.63333333333333,0.3366666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
7453,2016-12-04,7,3.0,28,12,31.73333333333333,27.3,1022.45,997.5333333333332,7.0,2.6333333333333333,7.333333333333333,,34.06666666666667,29.266666666666666,0.0733333333333333,5.5,1.0,0.0,1.0,0.0,0.0,0.0
2071,2015-04-05,7,3.0,41,4,53.8,23.4,1018.2,995.3333333333334,10.0,10.0,17.266666666666666,24.76666666666667,66.96666666666667,44.86666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4232,2018-07-12,4,3.0,31,7,77.5,61.63333333333333,1020.1,997.8333333333334,10.0,5.9,11.3,17.0,85.96666666666665,67.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3134,2016-05-22,7,3.0,29,5,64.43333333333334,40.96666666666667,1017.9,995.2,10.0,5.166666666666667,10.7,,76.16666666666667,50.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3530,2016-06-09,4,3.0,43,6,61.9,50.63333333333333,1015.7,992.9666666666668,9.933333333333334,5.5,10.266666666666667,19.0,72.5,53.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5841,2018-09-23,7,3.0,33,9,59.3,49.03333333333333,1021.55,998.5,9.966666666666669,3.8,9.966666666666669,14.95,70.53333333333333,49.06666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
