index,date,day_of_week,district,crime_count,mo,temp,dewp,slp,stp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
3189,2018-05-25,5,20.0,12,5,76.96666666666665,56.46666666666667,1012.85,990.7666666666668,10.0,5.866666666666667,9.566666666666668,17.1,89.26666666666667,61.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207,2015-02-24,2,20.0,9,2,11.733333333333334,0.6333333333333334,1018.65,994.0333333333332,9.9,12.333333333333334,20.0,27.633333333333336,29.166666666666668,-1.4666666666666668,0.0,4.1,0.0,0.0,1.0,0.0,0.0,0.0
3761,2015-06-20,6,20.0,14,6,65.06666666666666,55.36666666666667,1011.9,989.4666666666668,10.0,5.766666666666667,16.400000000000002,22.03333333333333,80.53333333333333,54.93333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3805,2015-06-22,1,20.0,14,6,76.16666666666667,69.43333333333334,1011.6,989.6,9.566666666666666,8.033333333333333,20.0,28.6,85.39999999999999,67.26666666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4186,2016-07-08,5,20.0,14,7,76.8,66.76666666666667,1008.75,986.7999999999998,7.1000000000000005,7.333333333333333,18.73333333333333,25.4,87.26666666666667,68.43333333333334,0.3899999999999999,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4972,2015-08-14,5,20.0,17,8,77.8,65.66666666666667,1017.75,995.6666666666666,10.0,7.8,11.666666666666666,14.0,89.5,66.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1075,2015-02-18,3,20.0,13,2,8.733333333333334,-2.333333333333333,1015.2,990.7,9.633333333333333,12.0,18.066666666666663,24.666666666666668,20.933333333333334,3.3666666666666667,0.0,4.1,0.0,0.0,1.0,0.0,0.0,0.0
2551,2018-04-26,4,20.0,13,4,47.46666666666667,30.33333333333333,1014.65,991.3333333333334,10.0,2.733333333333333,9.633333333333333,15.0,65.46666666666667,33.766666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3432,2018-06-05,2,20.0,12,6,66.60000000000001,49.6,1010.8,988.5333333333332,10.0,9.966666666666669,16.733333333333334,19.5,79.2,54.36666666666667,0.0066666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1602,2019-03-14,4,20.0,11,3,55.73333333333333,48.9,999.6,976.5,9.3,15.066666666666668,27.633333333333336,42.03333333333333,63.63333333333333,43.96666666666667,0.27,0.0,0.0,1.0,0.0,0.0,1.0,0.0
702,2016-02-01,1,20.0,16,2,36.46666666666667,30.9,1014.45,991.0333333333332,8.966666666666667,5.066666666666666,12.366666666666667,20.5,46.96666666666667,29.03333333333333,0.0133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2018-01-07,7,20.0,10,1,16.099999999999998,6.533333333333334,1027.1,1001.0666666666666,9.633333333333333,10.9,17.366666666666667,24.366666666666664,30.53333333333333,1.5333333333333332,0.0,1.2,0.0,1.0,1.0,0.0,0.0,0.0
3497,2015-06-08,1,20.0,11,6,73.03333333333333,63.633333333333326,1004.8,982.9,9.733333333333333,10.5,19.03333333333333,27.3,84.0,55.93333333333334,0.32,0.0,0.0,1.0,0.0,0.0,1.0,0.0
833,2015-02-07,6,20.0,11,2,30.600000000000005,25.4,1012.4,988.8,9.266666666666666,6.866666666666667,12.7,21.0,41.36666666666667,12.666666666666666,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0
7249,2016-11-24,4,20.0,11,11,40.66666666666666,36.96666666666667,1019.65,995.5666666666666,8.166666666666666,7.766666666666666,12.7,15.9,45.06666666666666,36.833333333333336,0.1333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7528,2015-12-08,2,20.0,13,12,40.56666666666666,36.63333333333333,1014.5,991.9666666666668,6.3,9.5,14.0,19.33333333333333,46.2,28.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1032,2016-02-16,2,20.0,16,2,28.5,22.83333333333333,1010.8,987.0,6.966666666666666,3.233333333333333,7.966666666666666,,34.7,23.566666666666663,0.005,1.2,0.0,0.0,1.0,0.0,0.0,0.0
3076,2019-05-20,1,20.0,19,5,54.06666666666666,44.2,1014.1,991.3,10.0,10.166666666666666,18.666666666666668,29.0,70.63333333333334,47.86666666666667,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4686,2015-08-01,6,20.0,28,8,75.93333333333334,53.26666666666667,1013.9,991.7,10.0,7.733333333333334,14.633333333333333,21.666666666666668,88.3,63.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779,2015-03-22,7,20.0,12,3,33.5,21.666666666666668,1025.5,1001.4,9.8,8.5,14.0,15.9,49.03333333333333,29.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2637,2017-04-30,7,20.0,18,4,44.96666666666667,43.833333333333336,1012.2,989.0,3.9666666666666655,12.266666666666666,27.3,36.0,47.93333333333334,41.6,1.6499999999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6694,2018-10-31,3,20.0,17,10,54.36666666666667,46.833333333333336,1012.5,987.9666666666668,7.399999999999999,6.533333333333334,13.0,19.05,66.8,47.43333333333334,0.54,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4998,2018-08-15,3,20.0,13,8,78.53333333333333,65.8,1013.0,990.8666666666668,9.833333333333334,4.933333333333334,13.333333333333334,17.666666666666668,86.2,71.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6082,2016-10-02,7,20.0,17,10,60.7,57.43333333333334,1016.95,993.8,7.766666666666667,5.233333333333333,8.6,,66.43333333333334,56.16666666666666,0.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7022,2015-11-15,7,20.0,11,11,52.13333333333333,33.46666666666667,1023.0,999.9333333333334,10.0,8.366666666666667,13.666666666666666,20.0,64.8,32.96666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3365,2018-06-02,6,20.0,13,6,59.46666666666667,52.9,1014.1,991.3333333333334,9.766666666666667,8.1,14.0,18.0,74.53333333333335,51.63333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2153,2015-04-08,3,20.0,9,4,46.16666666666666,43.16666666666666,1014.75,991.4333333333334,3.5333333333333337,8.0,15.033333333333331,20.33333333333333,52.833333333333336,38.93333333333333,0.02,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1449,2018-03-07,3,20.0,11,3,31.266666666666666,23.53333333333333,1013.2,988.2666666666668,8.6,10.5,16.400000000000002,22.03333333333333,37.46666666666667,26.133333333333336,0.0466666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0
260,2019-01-12,6,20.0,15,1,29.866666666666664,24.23333333333333,1027.3,3.1333333333333333,6.3,7.033333333333334,12.633333333333333,19.3,31.03333333333333,25.03333333333333,0.0066666666666666,2.55,1.0,0.0,1.0,0.0,0.0,0.0
568,2019-01-26,6,20.0,9,1,4.033333333333333,-2.6666666666666665,1023.15,997.4,8.6,4.466666666666666,11.3,15.9,12.6,-6.599999999999999,0.015,5.5,0.0,0.0,1.0,0.0,0.0,0.0
6318,2015-10-14,3,20.0,19,10,52.9,39.5,1013.45,990.3333333333334,10.0,5.9,9.966666666666669,15.0,63.56666666666666,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3899,2016-06-25,6,20.0,15,6,77.36666666666667,61.1,1017.25,995.0333333333332,10.0,6.4,12.666666666666666,18.33333333333333,89.73333333333333,65.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6385,2018-10-17,3,20.0,14,10,47.06666666666666,30.96666666666667,1022.55,999.2666666666668,10.0,9.433333333333334,15.033333333333331,22.666666666666668,54.93333333333334,39.03333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5829,2017-09-22,5,20.0,15,9,82.8,67.7,1016.05,994.1333333333332,10.0,5.066666666666666,10.366666666666667,15.45,93.73333333333332,71.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,2018-02-22,4,20.0,12,2,33.766666666666666,27.133333333333336,1035.05,1010.5,10.0,10.933333333333332,14.7,19.3,40.7,29.2,0.0499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6450,2015-10-20,2,20.0,12,10,63.8,36.43333333333333,1017.65,995.2,10.0,11.633333333333333,17.666666666666668,26.266666666666666,75.96666666666667,43.76666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2598,2016-04-27,3,20.0,16,4,45.6,39.7,1013.05,989.3666666666668,8.799999999999999,12.166666666666666,17.7,20.5,49.5,42.266666666666666,0.0033333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1954,2019-03-30,6,20.0,9,3,39.63333333333333,33.166666666666664,1013.0,988.9333333333334,8.266666666666667,9.766666666666667,19.366666666666667,27.0,47.6,34.36666666666667,0.56,0.0,0.0,1.0,1.0,0.0,0.0,0.0
106,2017-01-05,4,20.0,12,1,10.5,-0.0333333333333333,1019.05,994.2333333333332,9.833333333333334,10.733333333333334,16.7,20.666666666666668,16.933333333333334,7.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3629,2015-06-14,7,20.0,16,6,74.63333333333334,68.43333333333334,1012.15,990.1,8.733333333333333,6.766666666666667,15.366666666666667,20.633333333333333,86.83333333333333,56.7,0.96,0.0,0.0,1.0,0.0,0.0,1.0,0.0
6665,2017-10-30,1,20.0,12,10,44.16666666666666,30.933333333333334,1006.5,983.0333333333332,10.0,11.0,23.066666666666663,33.666666666666664,50.36666666666667,37.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6951,2017-11-12,7,20.0,11,11,37.8,31.03333333333333,1026.2,1002.3,8.933333333333334,2.833333333333333,7.666666666666667,,40.333333333333336,32.7,0.01,0.0,0.0,1.0,0.0,0.0,0.0,0.0
