day_of_week,temp,snow_ice_pellets,crime_count
5,26.6,0.0,0.3654390934844193
6,32.6,1.0,0.29178470254957506
5,9.466666666666669,1.0,0.1274787535410765
6,5.833333333333333,0.0,0.28895184135977336
7,26.366666666666664,1.0,0.29745042492917845
1,25.133333333333336,1.0,0.17563739376770537
2,17.7,1.0,0.18980169971671387
3,9.5,0.0,0.36827195467422097
4,21.266666666666666,0.0,0.6175637393767706
5,27.933333333333334,0.0,0.46742209631728043
6,34.86666666666667,0.0,0.5552407932011332
7,37.43333333333333,0.0,0.43342776203966005
1,32.03333333333333,0.0,0.46458923512747874
2,35.0,1.0,0.7025495750708215
3,32.63333333333333,1.0,0.5694050991501416
4,31.03333333333333,0.0,0.5864022662889519
5,30.766666666666666,0.0,0.7223796033994334
6,33.6,0.0,0.5977337110481586
7,32.56666666666667,1.0,0.28611898016997167
1,24.1,1.0,0.31444759206798867
2,27.83333333333333,1.0,0.36827195467422097
3,26.2,0.0,0.28895184135977336
4,34.43333333333333,1.0,0.45325779036827196
5,28.666666666666668,1.0,0.47875354107648727
6,28.366666666666664,0.0,0.2577903682719547
7,30.8,1.0,0.05099150141643059
3,24.0,1.0,0.0906515580736544
4,9.433333333333334,0.0,0.0764872521246459
5,17.8,0.0,0.43059490084985835
6,30.600000000000005,0.0,0.37960339943342775
7,37.06666666666667,0.0,0.19830028328611898
1,27.83333333333333,1.0,0.17563739376770537
2,26.866666666666664,0.0,0.23796033994334279
3,31.2,0.0,0.17280453257790368
4,17.599999999999998,1.0,0.18696883852691218
5,12.1,1.0,0.24645892351274787
6,20.33333333333333,1.0,0.14730878186968838
7,5.833333333333333,1.0,0.019830028328611898
2,16.53333333333333,1.0,0.14730878186968838
5,4.2,1.0,0.3031161473087819
6,22.0,0.0,0.3031161473087819
7,23.6,0.0,0.13314447592067988
1,6.6000000000000005,0.0,0.0764872521246459
2,11.733333333333334,1.0,0.23512747875354106
3,22.8,1.0,0.0764872521246459
5,7.766666666666667,0.0,0.26345609065155806
6,6.633333333333333,0.0,0.0
7,20.2,1.0,0.603399433427762
1,21.266666666666666,0.0,0.32011331444759206
2,29.23333333333333,1.0,0.2577903682719547
3,26.100000000000005,0.0,0.04815864022662889
4,14.066666666666668,0.0,0.19263456090651557
5,12.233333333333334,0.0,0.4730878186968839
6,32.300000000000004,0.0,0.43059490084985835
7,35.36666666666667,1.0,0.22662889518413598
1,36.9,0.0,0.5127478753541076
2,41.5,0.0,0.5920679886685553
3,41.833333333333336,0.0,0.5694050991501416
4,41.73333333333333,0.0,0.5864022662889519
5,47.73333333333333,0.0,0.7620396600566572
6,50.4,0.0,0.71671388101983
7,45.2,0.0,0.6628895184135978
1,58.93333333333334,0.0,0.6628895184135978
2,43.8,0.0,0.4164305949008499
3,36.6,0.0,0.41076487252124644
4,42.76666666666667,0.0,0.48725212464589235
5,42.5,0.0,0.6572237960339944
6,42.06666666666667,0.0,0.40793201133144474
7,33.5,1.0,0.31444759206798867
1,30.366666666666664,1.0,0.13314447592067988
2,30.3,0.0,0.26628895184135976
3,38.833333333333336,0.0,0.5070821529745042
4,38.36666666666667,0.0,0.3937677053824363
5,29.866666666666664,1.0,0.5127478753541076
6,27.633333333333336,0.0,0.31728045325779036
7,32.46666666666667,0.0,0.2096317280453258
1,47.13333333333333,0.0,0.49291784702549574
2,49.0,0.0,0.4192634560906516
4,58.56666666666666,0.0,0.7053824362606232
5,49.76666666666667,0.0,0.46742209631728043
6,40.66666666666666,0.0,0.42209631728045327
7,53.8,0.0,0.3626062322946176
1,50.93333333333334,0.0,0.37110481586402266
2,42.03333333333333,0.0,0.1643059490084986
3,46.16666666666666,0.0,0.37960339943342775
4,53.16666666666666,0.0,0.29178470254957506
5,54.13333333333333,0.0,0.47875354107648727
6,48.63333333333333,0.0,0.49575070821529743
7,55.43333333333334,0.0,0.6458923512747875
1,61.2,0.0,0.5382436260623229
2,56.46666666666667,0.0,0.6288951841359773
3,54.43333333333334,0.0,0.7280453257790368
4,53.86666666666667,0.0,0.40509915014164305
5,60.06666666666666,0.0,0.6798866855524079
6,59.7,0.0,0.6345609065155807
7,56.2,0.0,0.4475920679886686
1,50.0,0.0,0.5609065155807366
2,45.93333333333334,0.0,0.3342776203966006
3,40.76666666666667,0.0,0.3881019830028329
4,42.73333333333333,0.0,0.5297450424929179
5,45.13333333333333,0.0,0.6118980169971672
6,44.63333333333333,0.0,0.42492917847025496
7,45.2,0.0,0.49008498583569404
1,46.86666666666667,0.0,0.4985835694050991
2,46.66666666666666,0.0,0.49291784702549574
3,49.76666666666667,0.0,0.6260623229461756
4,45.93333333333334,0.0,0.34277620396600567
1,57.833333333333336,0.0,0.6798866855524079
2,58.13333333333333,0.0,0.5779036827195467
3,57.63333333333333,0.0,0.6968838526912181
4,64.06666666666666,0.0,0.5920679886685553
5,55.7,0.0,0.5722379603399433
6,45.06666666666666,0.0,0.41359773371104813
7,41.86666666666667,0.0,0.45325779036827196
1,42.3,0.0,0.3937677053824363
2,46.3,0.0,0.26912181303116145
3,48.53333333333333,0.0,0.40509915014164305
4,48.96666666666667,0.0,0.4192634560906516
5,42.333333333333336,0.0,0.37960339943342775
6,39.8,0.0,0.42776203966005666
7,52.13333333333333,0.0,0.5014164305949008
1,51.2,0.0,0.5637393767705382
2,51.6,0.0,0.34844192634560905
3,58.93333333333334,0.0,0.3937677053824363
4,45.3,0.0,0.42776203966005666
5,36.7,0.0,0.47875354107648727
1,29.23333333333333,0.0,0.29745042492917845
2,32.166666666666664,0.0,0.17563739376770537
3,41.266666666666666,0.0,0.21246458923512748
4,53.3,0.0,0.1274787535410765
5,47.23333333333333,0.0,0.19263456090651557
6,37.56666666666667,0.0,0.32011331444759206
7,35.03333333333333,0.0,0.18980169971671387
1,40.23333333333333,0.0,0.34844192634560905
2,42.5,0.0,0.7138810198300283
3,35.36666666666667,1.0,0.48441926345609065
4,33.166666666666664,0.0,0.46742209631728043
5,36.63333333333333,0.0,0.43909348441926344
6,35.06666666666666,0.0,0.45892351274787535
7,36.63333333333333,0.0,0.40226628895184136
1,34.800000000000004,0.0,0.40793201133144474
2,40.56666666666666,0.0,0.5325779036827195
3,46.73333333333333,0.0,0.39660056657223797
4,48.1,0.0,0.41359773371104813
5,46.86666666666667,0.0,0.5580736543909348
6,53.53333333333333,0.0,0.5864022662889519
7,58.36666666666667,0.0,0.3002832861189802
1,55.333333333333336,0.0,0.5495750708215298
2,42.1,0.0,0.7053824362606232
3,43.93333333333334,0.0,0.5014164305949008
4,34.2,0.0,0.5184135977337111
5,28.666666666666668,0.0,0.3059490084985836
6,24.6,1.0,0.34277620396600567
7,35.36666666666667,0.0,0.4192634560906516
1,46.633333333333326,0.0,0.29745042492917845
2,40.63333333333333,0.0,0.42209631728045327
3,48.76666666666667,0.0,0.5920679886685553
4,42.833333333333336,0.0,0.36827195467422097
6,40.16666666666666,0.0,0.26912181303116145
7,40.23333333333333,0.0,0.23229461756373937
2,34.6,1.0,0.2237960339943343
3,29.766666666666666,1.0,0.1643059490084986
4,28.0,0.0,0.18696883852691218
