day_of_week,temp,crime_count
6,62.3,0.40226628895184136
7,67.63333333333334,0.56657223796034
1,66.2,0.6628895184135978
2,54.13333333333333,0.43059490084985835
3,58.2,0.5495750708215298
4,68.89999999999999,0.7960339943342776
5,71.66666666666667,0.7422096317280453
6,59.26666666666667,0.39660056657223797
7,48.56666666666666,0.5552407932011332
1,57.63333333333333,0.5779036827195467
2,53.13333333333333,0.6005665722379604
3,48.13333333333333,0.6317280453257791
4,52.76666666666667,0.5949008498583569
5,65.43333333333334,0.7847025495750708
6,70.33333333333333,0.9546742209631728
7,72.86666666666667,0.8243626062322946
1,73.06666666666666,0.603399433427762
2,50.96666666666667,0.46175637393767704
3,44.43333333333334,0.5240793201133145
4,52.2,0.56657223796034
5,58.56666666666666,0.7903682719546742
6,62.8,0.71671388101983
7,67.46666666666665,0.40226628895184136
1,72.83333333333333,0.46175637393767704
2,71.46666666666665,0.6373937677053825
3,69.66666666666667,0.546742209631728
4,69.66666666666667,0.7223796033994334
5,73.56666666666666,0.8016997167138811
6,65.06666666666666,0.49291784702549574
7,47.76666666666667,0.34277620396600567
7,46.36666666666667,0.7692307692307693
1,49.03333333333333,0.5753846153846154
2,52.96666666666667,0.5076923076923077
3,51.8,0.3446153846153846
4,47.93333333333334,0.40307692307692305
5,58.56666666666666,0.6892307692307692
6,63.9,0.5292307692307693
7,54.56666666666666,0.48923076923076925
1,55.66666666666666,0.49846153846153846
2,56.1,0.44
3,59.96666666666667,0.5784615384615385
4,62.7,0.36923076923076925
5,58.26666666666667,0.7323076923076923
6,47.3,0.4707692307692308
7,45.56666666666666,0.52
1,55.06666666666666,0.6523076923076923
2,54.43333333333334,0.37538461538461537
3,52.333333333333336,0.7107692307692308
4,55.23333333333333,0.6
5,58.36666666666667,0.7230769230769231
6,62.03333333333333,0.683076923076923
7,64.43333333333334,0.5538461538461539
1,65.76666666666667,0.6523076923076923
2,72.7,0.7169230769230769
3,76.06666666666668,0.4646153846153846
4,71.89999999999999,0.6061538461538462
5,74.33333333333333,0.7076923076923077
6,73.7,0.68
7,73.39999999999999,0.7015384615384616
1,74.46666666666667,0.7692307692307693
2,72.96666666666667,0.5723076923076923
1,51.36666666666667,0.8947368421052632
2,45.8,0.3223684210526316
3,47.0,0.4868421052631579
4,47.9,0.4934210526315789
5,47.93333333333334,0.6842105263157895
6,49.46666666666667,0.40131578947368424
7,47.43333333333334,0.12828947368421054
1,45.4,0.375
2,47.76666666666667,0.3815789473684211
3,54.833333333333336,0.23684210526315788
4,54.13333333333333,0.48026315789473684
5,57.5,0.8486842105263158
6,61.4,0.4375
7,62.46666666666667,0.3980263157894737
1,62.96666666666667,0.9210526315789473
2,75.13333333333334,0.5164473684210527
3,77.8,0.8026315789473685
4,74.93333333333334,0.6052631578947368
5,48.5,0.6085526315789473
6,52.76666666666667,0.24013157894736842
7,61.8,0.6578947368421053
1,58.1,0.6776315789473685
2,60.76666666666667,0.4868421052631579
3,56.26666666666667,0.5625
4,57.36666666666667,0.5657894736842105
5,59.86666666666667,0.5789473684210527
6,62.1,0.6875
7,66.16666666666667,0.375
1,68.66666666666667,0.5822368421052632
2,64.5,0.7335526315789473
3,63.5,0.4868421052631579
3,76.3,0.6485714285714286
4,65.26666666666667,0.5142857142857142
5,66.73333333333333,0.72
6,68.5,0.8314285714285714
7,61.833333333333336,0.44
1,58.43333333333334,0.6942857142857143
2,67.7,0.6942857142857143
3,69.7,0.6571428571428571
4,65.63333333333333,0.62
5,53.53333333333333,0.47714285714285715
6,48.0,0.3914285714285714
7,53.3,0.3657142857142857
1,62.7,0.6457142857142857
2,63.1,0.5171428571428571
3,60.76666666666667,0.5628571428571428
4,62.5,0.6685714285714286
5,56.4,0.68
6,60.5,0.5628571428571428
7,51.36666666666667,0.5771428571428572
1,54.1,0.4342857142857143
2,59.3,0.6714285714285714
3,62.46666666666667,0.6257142857142857
4,70.3,0.7371428571428571
5,76.96666666666665,0.6942857142857143
6,77.96666666666667,0.8371428571428572
7,82.23333333333333,0.9142857142857143
1,82.23333333333333,0.9314285714285714
2,76.13333333333333,0.8942857142857142
3,76.3,0.8142857142857143
4,76.96666666666667,0.8
3,52.16666666666666,0.8082595870206489
4,45.6,0.45722713864306785
5,47.333333333333336,0.7286135693215339
6,49.4,0.45722713864306785
7,57.1,0.6932153392330384
1,59.4,0.7315634218289085
2,46.63333333333333,0.46017699115044247
3,52.333333333333336,0.6342182890855457
4,62.8,0.5693215339233039
5,49.76666666666667,0.7492625368731564
6,47.5,0.44837758112094395
7,46.46666666666667,0.25663716814159293
1,49.4,0.7256637168141593
2,53.7,0.5191740412979351
3,62.0,0.6519174041297935
4,65.39999999999999,0.5781710914454278
5,57.36666666666667,0.6814159292035398
6,56.73333333333333,0.6283185840707964
7,65.8,0.6814159292035398
1,54.06666666666666,0.7817109144542773
2,48.53333333333333,0.5427728613569321
3,62.23333333333333,0.6755162241887905
4,70.93333333333332,0.672566371681416
5,63.46666666666667,0.8938053097345132
6,74.96666666666667,0.976401179941003
7,70.2,0.8348082595870207
1,61.833333333333336,0.5958702064896755
2,65.16666666666667,0.5988200589970502
3,59.26666666666667,0.5722713864306784
4,66.13333333333334,0.5958702064896755
5,70.03333333333335,0.8466076696165191
