day_of_week,max,visib,rain_drizzle,crime_count
4,72.5,9.433333333333334,1.0,0.7053824362606232
5,66.0,9.933333333333334,0.0,0.46742209631728043
6,59.3,10.0,0.0,0.42209631728045327
7,66.96666666666667,10.0,0.0,0.3626062322946176
1,67.39999999999999,10.0,0.0,0.37110481586402266
2,51.66666666666666,5.8,1.0,0.1643059490084986
3,52.833333333333336,3.5333333333333337,1.0,0.37960339943342775
4,72.8,4.7,1.0,0.29178470254957506
5,72.8,9.933333333333334,1.0,0.47875354107648727
6,63.8,9.966666666666669,0.0,0.49575070821529743
7,69.33333333333333,10.0,0.0,0.6458923512747875
1,69.33333333333333,9.633333333333333,1.0,0.5382436260623229
2,67.16666666666667,10.0,0.0,0.6288951841359773
3,67.03333333333335,10.0,0.0,0.7280453257790368
4,67.03333333333335,9.3,1.0,0.40509915014164305
5,78.56666666666666,8.833333333333334,0.0,0.6798866855524079
6,78.56666666666666,9.9,0.0,0.6345609065155807
7,69.73333333333333,9.5,1.0,0.4475920679886686
1,64.16666666666667,7.433333333333333,1.0,0.5609065155807366
2,55.76666666666667,10.0,0.0,0.3342776203966006
3,52.1,9.966666666666669,0.0,0.3881019830028329
4,54.36666666666667,10.0,0.0,0.5297450424929179
5,59.46666666666667,10.0,0.0,0.6118980169971672
6,59.46666666666667,8.533333333333333,1.0,0.42492917847025496
7,54.96666666666667,9.966666666666669,0.0,0.49008498583569404
1,54.96666666666667,10.0,0.0,0.4985835694050991
2,58.46666666666667,10.0,0.0,0.49291784702549574
3,61.7,10.0,0.0,0.6260623229461756
4,61.7,10.0,0.0,0.34277620396600567
5,58.866666666666674,9.866666666666667,1.0,0.796923076923077
6,42.4,8.433333333333334,1.0,0.24923076923076923
7,69.3,10.0,0.0,0.41846153846153844
1,65.7,9.466666666666669,1.0,0.28
2,46.16666666666666,10.0,1.0,0.3292307692307692
3,49.63333333333333,8.666666666666666,1.0,0.27692307692307694
4,47.6,8.866666666666667,1.0,0.5292307692307693
5,42.86666666666667,8.933333333333334,1.0,0.1723076923076923
6,38.16666666666666,9.666666666666666,0.0,0.36615384615384616
7,48.3,8.9,1.0,0.4123076923076923
1,51.2,7.166666666666667,1.0,0.3261538461538461
2,49.63333333333333,10.0,0.0,0.40307692307692305
