day_of_week,crime_count
1,0.3654390934844193
2,0.29178470254957506
1,0.1274787535410765
2,0.28895184135977336
6,0.29745042492917845
3,0.17563739376770537
7,0.18980169971671387
5,0.36827195467422097
4,0.6175637393767706
1,0.46742209631728043
2,0.5552407932011332
6,0.43342776203966005
3,0.46458923512747874
7,0.7025495750708215
5,0.5694050991501416
4,0.5864022662889519
1,0.7223796033994334
2,0.5977337110481586
6,0.28611898016997167
3,0.31444759206798867
7,0.36827195467422097
5,0.28895184135977336
4,0.45325779036827196
1,0.47875354107648727
2,0.2577903682719547
6,0.05099150141643059
5,0.0906515580736544
4,0.0764872521246459
1,0.43059490084985835
2,0.37960339943342775
6,0.19830028328611898
3,0.17563739376770537
7,0.23796033994334279
5,0.17280453257790368
4,0.18696883852691218
1,0.24645892351274787
2,0.14730878186968838
6,0.019830028328611898
7,0.14730878186968838
1,0.3031161473087819
2,0.3031161473087819
6,0.13314447592067988
3,0.0764872521246459
7,0.23512747875354106
5,0.0764872521246459
1,0.26345609065155806
2,0.0
6,0.603399433427762
3,0.32011331444759206
7,0.2577903682719547
5,0.04815864022662889
4,0.19263456090651557
1,0.4730878186968839
2,0.43059490084985835
6,0.22662889518413598
3,0.5127478753541076
7,0.5920679886685553
5,0.5694050991501416
4,0.5864022662889519
1,0.7620396600566572
2,0.71671388101983
6,0.6628895184135978
3,0.6628895184135978
7,0.4164305949008499
5,0.41076487252124644
4,0.48725212464589235
1,0.6572237960339944
2,0.40793201133144474
6,0.31444759206798867
3,0.13314447592067988
7,0.26628895184135976
5,0.5070821529745042
4,0.3937677053824363
1,0.5127478753541076
2,0.31728045325779036
6,0.2096317280453258
3,0.49291784702549574
7,0.4192634560906516
4,0.7053824362606232
1,0.46742209631728043
2,0.42209631728045327
6,0.3626062322946176
3,0.37110481586402266
7,0.1643059490084986
5,0.37960339943342775
4,0.29178470254957506
1,0.47875354107648727
2,0.49575070821529743
6,0.6458923512747875
3,0.5382436260623229
7,0.6288951841359773
5,0.7280453257790368
4,0.40509915014164305
1,0.6798866855524079
2,0.6345609065155807
6,0.4475920679886686
3,0.5609065155807366
7,0.3342776203966006
5,0.3881019830028329
4,0.5297450424929179
1,0.6118980169971672
2,0.42492917847025496
6,0.49008498583569404
3,0.4985835694050991
7,0.49291784702549574
5,0.6260623229461756
4,0.34277620396600567
2,0.40226628895184136
6,0.56657223796034
3,0.6628895184135978
7,0.43059490084985835
5,0.5495750708215298
4,0.7960339943342776
1,0.7422096317280453
2,0.39660056657223797
6,0.5552407932011332
3,0.5779036827195467
7,0.6005665722379604
5,0.6317280453257791
4,0.5949008498583569
1,0.7847025495750708
2,0.9546742209631728
6,0.8243626062322946
3,0.603399433427762
7,0.46175637393767704
5,0.5240793201133145
4,0.56657223796034
1,0.7903682719546742
2,0.71671388101983
6,0.40226628895184136
3,0.46175637393767704
7,0.6373937677053825
5,0.546742209631728
4,0.7223796033994334
1,0.8016997167138811
2,0.49291784702549574
6,0.34277620396600567
7,0.6430594900849859
5,0.6628895184135978
4,0.4985835694050991
1,0.6827195467422096
2,0.603399433427762
6,0.5524079320113314
3,0.3881019830028329
7,0.5297450424929179
5,0.7025495750708215
4,0.7337110481586402
1,0.8016997167138811
2,0.7592067988668555
6,0.7138810198300283
3,0.5524079320113314
7,0.8555240793201133
5,0.5042492917847026
4,0.6317280453257791
1,0.6487252124645893
2,0.6260623229461756
6,0.6742209631728046
3,0.6657223796033994
7,0.5297450424929179
5,0.5184135977337111
4,0.6770538243626062
1,0.6770538243626062
2,0.5042492917847026
6,0.7138810198300283
3,0.5864022662889519
7,0.5779036827195467
5,0.9773371104815864
4,0.6005665722379604
1,0.6317280453257791
2,0.8498583569405099
6,1.0
3,0.6005665722379604
7,0.44192634560906513
5,0.49008498583569404
4,0.3597733711048159
1,0.5495750708215298
2,0.71671388101983
6,0.7252124645892352
3,0.6713881019830028
7,0.4702549575070821
5,0.7082152974504249
4,0.3626062322946176
1,0.7932011331444759
2,0.6543909348441926
6,0.6203966005665722
