day_of_week,max,snow_ice_pellets,crime_count
7,37.833333333333336,1.0,0.05099150141643059
3,29.5,1.0,0.0906515580736544
4,29.133333333333336,0.0,0.0764872521246459
5,31.266666666666666,0.0,0.43059490084985835
6,41.36666666666667,0.0,0.37960339943342775
7,42.16666666666666,0.0,0.19830028328611898
1,40.46666666666667,1.0,0.17563739376770537
2,32.13333333333333,0.0,0.23796033994334279
3,36.5,0.0,0.17280453257790368
4,36.5,1.0,0.18696883852691218
5,23.6,1.0,0.24645892351274787
6,28.23333333333333,1.0,0.14730878186968838
7,22.866666666666664,1.0,0.019830028328611898
2,20.933333333333334,1.0,0.14730878186968838
5,18.33333333333333,1.0,0.3031161473087819
6,31.03333333333333,0.0,0.3031161473087819
7,31.76666666666667,0.0,0.13314447592067988
1,23.1,0.0,0.0764872521246459
2,29.166666666666668,1.0,0.23512747875354106
3,29.766666666666666,1.0,0.0764872521246459
5,20.33333333333333,0.0,0.26345609065155806
6,21.866666666666664,0.0,0.0
1,46.96666666666667,0.0,0.8707692307692307
2,42.16666666666666,0.0,0.13538461538461538
3,39.13333333333333,1.0,0.3446153846153846
4,34.03333333333333,1.0,0.3076923076923077
5,33.86666666666667,0.0,0.27692307692307694
6,41.36666666666667,0.0,0.38769230769230767
7,44.9,0.0,0.14461538461538462
1,41.86666666666667,1.0,0.0
4,22.866666666666664,0.0,0.036923076923076927
5,24.633333333333336,1.0,0.23692307692307693
6,20.4,0.0,0.08307692307692308
2,34.7,1.0,0.16923076923076924
3,34.36666666666667,1.0,0.21846153846153846
4,41.8,0.0,0.3415384615384615
5,63.333333333333336,0.0,0.6307692307692307
6,61.06666666666666,0.0,0.40615384615384614
7,53.96666666666667,0.0,0.42153846153846153
1,44.13333333333333,0.0,0.2123076923076923
2,45.06666666666666,0.0,0.18461538461538463
3,40.766666666666666,1.0,0.024615384615384615
4,36.46666666666667,1.0,0.39692307692307693
5,35.36666666666667,0.0,0.5230769230769231
6,51.333333333333336,0.0,0.37538461538461537
7,62.3,0.0,0.16923076923076924
1,59.36666666666667,0.0,0.23384615384615384
3,39.43333333333333,0.0,0.8421052631578947
4,34.766666666666666,0.0,0.2631578947368421
5,28.8,0.0,0.2598684210526316
6,33.4,0.0,0.15460526315789475
7,40.4,0.0,0.34210526315789475
1,54.96666666666667,0.0,0.5625
2,52.56666666666666,0.0,0.3355263157894737
3,45.63333333333333,1.0,0.24671052631578946
4,29.1,0.0,0.2532894736842105
5,40.1,0.0,0.506578947368421
6,51.2,0.0,0.3717105263157895
7,48.8,0.0,0.28618421052631576
1,45.2,0.0,0.41776315789473684
2,50.66666666666666,0.0,0.40131578947368424
3,46.7,0.0,0.2730263157894737
4,41.36666666666667,0.0,0.2631578947368421
5,66.43333333333334,0.0,0.7927631578947368
6,69.10000000000001,0.0,0.5164473684210527
7,67.63333333333334,0.0,0.2730263157894737
1,68.86666666666666,0.0,0.39473684210526316
2,66.73333333333333,0.0,0.2894736842105263
3,66.60000000000001,0.0,0.3684210526315789
4,64.43333333333334,0.0,0.21052631578947367
5,44.13333333333333,0.0,0.22697368421052633
6,42.56666666666667,1.0,0.02631578947368421
1,54.03333333333333,0.0,0.13815789473684212
2,59.06666666666666,0.0,0.13157894736842105
4,40.76666666666667,0.0,0.5114285714285715
5,19.666666666666668,0.0,0.32
6,41.06666666666667,0.0,0.19428571428571428
2,20.9,1.0,0.07428571428571429
1,27.03333333333333,0.0,0.02857142857142857
2,34.36666666666667,0.0,0.24
3,43.46666666666667,0.0,0.28285714285714286
4,46.43333333333334,0.0,0.38857142857142857
5,44.86666666666667,0.0,0.2914285714285714
6,36.333333333333336,1.0,0.12285714285714286
7,37.8,1.0,0.07142857142857142
1,56.6,0.0,0.17714285714285713
2,65.33333333333333,0.0,0.23714285714285716
3,46.5,1.0,0.22285714285714286
4,40.7,0.0,0.32857142857142857
5,44.56666666666666,0.0,0.31142857142857144
6,43.6,0.0,0.34
7,50.73333333333333,0.0,0.2714285714285714
1,53.6,0.0,0.18
2,61.6,0.0,0.36857142857142855
3,60.7,0.0,0.24
5,20.03333333333333,1.0,0.6843657817109144
6,40.46666666666667,0.0,0.5250737463126843
7,46.03333333333333,0.0,0.15339233038348082
1,50.5,0.0,0.5663716814159292
2,43.1,0.0,0.3215339233038348
3,37.4,1.0,0.2713864306784661
4,46.53333333333333,0.0,0.37168141592920356
5,29.399999999999995,1.0,0.2890855457227139
6,25.23333333333333,1.0,0.6253687315634219
7,28.566666666666663,1.0,0.27728613569321536
1,31.633333333333336,1.0,0.24188790560471976
2,33.333333333333336,1.0,0.35693215339233036
3,30.2,1.0,0.2920353982300885
4,47.16666666666666,0.0,0.584070796460177
5,45.4,0.0,0.5811209439528023
6,30.73333333333333,0.0,0.39233038348082594
7,29.03333333333333,1.0,0.2182890855457227
1,30.366666666666664,1.0,0.13569321533923304
2,34.06666666666667,0.0,0.20353982300884957
3,37.3,1.0,0.26843657817109146
4,36.66666666666666,0.0,0.44837758112094395
5,39.73333333333333,0.0,0.49557522123893805
6,40.16666666666666,0.0,0.30383480825958703
7,50.3,0.0,0.008849557522123894
1,23.1,0.0,0.15634218289085547
2,25.1,1.0,0.19174041297935104
3,31.266666666666666,1.0,0.30973451327433627
4,27.366666666666664,0.0,0.1504424778761062
