day_of_week,max,slp,crime_count
1,42.03333333333333,1026.75,0.46017699115044247
2,48.53333333333333,1027.7,0.24778761061946902
3,59.06666666666666,1013.5,0.4247787610619469
4,63.63333333333333,999.6,0.3893805309734513
5,45.03333333333333,1007.65,0.5634218289085545
6,42.03333333333333,1024.95,0.6548672566371682
7,44.26666666666667,1025.0,0.20058997050147492
1,44.03333333333333,1027.75,0.31563421828908556
2,49.333333333333336,1028.9,0.2949852507374631
3,46.66666666666666,1020.4,0.43952802359882004
4,44.53333333333333,1014.6,0.4277286135693215
5,45.36666666666667,1017.4,0.48672566371681414
6,52.6,1025.9499999999998,0.4306784660766962
7,52.06666666666666,1020.8,0.30678466076696165
1,45.26666666666667,1024.1,0.28023598820059
2,46.333333333333336,1030.7,0.3775811209439528
3,58.333333333333336,1026.7,0.45427728613569324
4,63.833333333333336,1017.0,0.41002949852507375
5,58.13333333333333,1017.9,0.3864306784660767
6,47.6,1013.0,0.35103244837758113
7,40.46666666666667,1024.4,0.2743362831858407
