day_of_week,max,slp,crime_count
7,26.2,1030.5,0.603399433427762
1,32.733333333333334,1031.4,0.32011331444759206
2,35.4,1018.5,0.2577903682719547
3,35.4,1017.25,0.04815864022662889
4,32.0,1031.0500000000002,0.19263456090651557
5,26.4,1031.65,0.4730878186968839
6,44.23333333333333,1019.4,0.43059490084985835
7,44.6,1021.6,0.22662889518413598
1,50.36666666666667,1021.55,0.5127478753541076
2,51.833333333333336,1017.3,0.5920679886685553
3,51.833333333333336,1022.4,0.5694050991501416
4,56.1,1031.35,0.5864022662889519
5,63.16666666666666,1023.5,0.7620396600566572
6,63.366666666666674,1016.45,0.71671388101983
7,62.53333333333333,1022.1,0.6628895184135978
1,72.89999999999999,1013.2,0.6628895184135978
2,72.96666666666667,1021.95,0.4164305949008499
3,49.56666666666666,1027.2,0.41076487252124644
4,49.76666666666667,1024.15,0.48725212464589235
5,50.43333333333334,1019.15,0.6572237960339944
6,50.06666666666666,1019.05,0.40793201133144474
7,49.03333333333333,1025.5,0.31444759206798867
1,36.8,1025.45,0.13314447592067988
2,37.16666666666666,1025.0500000000002,0.26628895184135976
3,42.56666666666667,1015.05,0.5070821529745042
4,44.6,1016.05,0.3937677053824363
5,44.6,1020.65,0.5127478753541076
6,35.766666666666666,1026.1,0.31728045325779036
7,47.46666666666667,1019.9,0.2096317280453258
1,62.23333333333333,1015.1,0.49291784702549574
2,62.23333333333333,1010.8,0.4192634560906516
2,34.300000000000004,1013.55,0.76
3,32.800000000000004,1020.85,0.12
4,32.96666666666667,1019.3,0.14461538461538462
5,38.23333333333333,1022.1,0.4123076923076923
6,39.36666666666667,1019.3,0.4
7,52.0,1022.6,0.4430769230769231
1,61.43333333333334,1012.45,0.6923076923076923
2,71.16666666666667,1011.45,0.4707692307692308
3,68.8,1010.8,0.3353846153846154
4,60.4,1017.4,0.4492307692307692
5,53.43333333333334,1026.55,0.5015384615384615
6,59.06666666666666,1022.45,0.5415384615384615
7,54.1,1011.9,0.17846153846153845
1,53.5,1005.5,0.3507692307692308
2,62.86666666666667,1006.45,0.44
3,60.2,1000.2,0.5384615384615384
4,57.0,1009.85,0.5169230769230769
5,53.6,1016.55,0.68
6,47.4,1021.3,0.39692307692307693
7,44.36666666666667,1022.45,0.3569230769230769
1,49.56666666666666,1021.1,0.39692307692307693
2,65.36666666666667,1010.0,0.4676923076923077
3,60.56666666666666,1009.35,0.3569230769230769
4,46.6,1003.65,0.3292307692307692
5,46.16666666666666,1015.75,0.4523076923076923
6,55.1,1020.9,0.5076923076923077
7,65.06666666666666,1015.2,0.18769230769230769
1,55.2,1016.0,0.5261538461538462
2,58.53333333333333,1024.95,0.52
3,61.36666666666667,1014.35,0.4492307692307692
4,68.16666666666667,996.1,0.5661538461538461
3,59.96666666666667,1000.45,0.4967105263157895
4,35.2,1022.25,0.125
